HJD,MAG,ERR,SRV
-956.7172796675004,0.03405465766678853,0.034,MACHO
-955.7210886911488,0.04999094561550009,0.044,MACHO
-955.7176883765496,0.06649638670523726,0.042,MACHO
-954.7240969808772,-0.028552187846008017,0.047,MACHO
-953.736605531536,-0.08432919566649924,0.028,MACHO
-953.7333052223548,-0.10709532130751612,0.031,MACHO
-953.730104922317,-0.093435645922906,0.033,MACHO
-950.748525323812,0.0505600987565257,0.12,MACHO
-949.7361292918212,-0.07294613284599105,0.029,MACHO
-945.7345451782458,-0.038227791243439876,0.028,MACHO
-943.769254261162,0.05226755817960203,0.03,MACHO
-941.718253639061,0.049421792474474986,0.04,MACHO
-932.8073726049624,-0.09400479906393161,0.023,MACHO
-925.7056695478968,-0.05245661976907561,0.023,MACHO
-925.7024692320264,-0.058148151179329706,0.023,MACHO
-923.7815806046128,-0.07066952028188912,0.033,MACHO
-922.8142860052176,-0.04335016951266886,0.027,MACHO
-922.8111856998876,-0.04619593521779591,0.026,MACHO
-922.8078853753397,-0.05530238547420266,0.029,MACHO
-922.790983711835,-0.05188746662805,0.026,MACHO
-922.7872833483852,-0.04107355694856743,0.03,MACHO
-922.7830829350278,-0.06497798887163503,0.03,MACHO
-922.7463793316856,-0.0871749613716263,0.025,MACHO
-922.7427789783104,-0.10709532130751612,0.024,MACHO
-922.7386785764248,-0.11961669041007553,0.03,MACHO
-920.7840883615428,0.04999094561550009,0.03,MACHO
-920.7812880882992,0.07674114324369524,0.039,MACHO
-920.7781877857632,0.05454417074370346,0.037,MACHO
-919.790092146024,-0.03253625983318578,0.031,MACHO
-919.786991844885,-0.0217223501537027,0.033,MACHO
-919.782391397748,-0.0217223501537027,0.039,MACHO
-918.7611929439008,-0.09115903335880406,0.023,MACHO
-918.7580926446244,-0.08432919566649924,0.024,MACHO
-918.755092354957,-0.09400479906393161,0.026,MACHO
-916.8252075826748,0.0625123147180595,0.068,MACHO
-916.8153066313826,0.08755505292317782,0.064,MACHO
-916.8122063339688,0.0625123147180595,0.062,MACHO
-912.8689344171436,0.05112925189755131,0.032,MACHO
-911.8860430363566,-0.08034512367932148,0.029,MACHO
-910.8782499139196,-0.09571225848700743,0.031,MACHO
-907.7903686002828,0.06535808042318654,0.065,MACHO
-907.787368329242,0.09779980946163579,0.069,MACHO
-905.7196837053634,-0.029121340987033124,0.026,MACHO
-904.8187042898498,-0.03424371925626211,0.022,MACHO
-903.8710214560851,0.04088449535909334,0.02,MACHO
-902.8783354363404,-0.058148151179329706,0.027,MACHO
-901.820244609844,-0.09855802419213498,0.02,MACHO
-899.8863812494092,0.05283671132062714,0.023,MACHO
-898.7146838367917,0.024948207410381774,0.024,MACHO
-897.8783151824027,-0.07977597053829587,0.033,MACHO
-895.8973551820964,0.0744645306795933,0.029,MACHO
-894.8651733384468,0.04885263933344937,0.02,MACHO
-892.8721184898168,-0.07294613284599105,0.027,MACHO
-891.8645418118685,-0.00237114335883848,0.018,MACHO
-891.7585337786004,-0.09286649278188039,0.023,MACHO
-890.9121703952551,0.026086513692432492,0.033,MACHO
-888.9006227971986,-0.12473906867930401,0.056,MACHO
-888.6873073917814,0.09666150317958457,0.029,MACHO
-887.8648485783488,-0.049041700922922954,0.038,MACHO
-886.8914800090715,0.0682038461283136,0.03,MACHO
-884.8778416835703,-0.03538202553831283,0.042,MACHO
-881.8941458566114,0.10292218773086427,0.057,MACHO
-881.8910456569865,0.09210827805138119,0.052,MACHO
-880.779275527224,0.06194316157703389,0.03,MACHO
-878.883959738072,-0.012046746756270843,0.046,MACHO
-877.8289973093197,0.01015022574372093,0.068,MACHO
-875.9093876336701,-0.10880278073059245,0.02,MACHO
-874.9012320344336,-0.05188746662805,0.022,MACHO
-873.9051785012707,0.06649638670523726,0.017,MACHO
-872.9136266014539,0.019256676000127683,0.018,MACHO
-872.7116162069142,-0.06497798887163503,0.037,MACHO
-871.9447772605345,-0.09741971791008376,0.015,MACHO
-871.7348667187616,0.07218791811549186,0.027,MACHO
-868.9418329042383,0.018118369718076458,0.031,MACHO
-866.92884358624,-0.08262173624342292,0.026,MACHO
-865.9405019711703,0.049421792474474986,0.028,MACHO
-864.9193605091423,0.06649638670523726,0.023,MACHO
-864.737653314136,-0.08432919566649924,0.019,MACHO
-863.9390222229995,-0.03538202553831283,0.015,MACHO
-860.890512553975,0.022102441705254727,0.038,MACHO
-858.871247863397,-0.018876584448575654,0.051,MACHO
-857.918619572185,-0.07066952028188912,0.026,MACHO
-856.9129912415519,0.005597000615517554,0.033,MACHO
-853.97521768976,-0.04676508835882152,0.125,MACHO
