HJD,MAG,ERR,SRV
551.82247,-0.0940000000000012,0.008,OGLE-III
553.74166,0.11500000000000199,0.009,OGLE-III
557.74262,-0.04499999999999815,0.009,OGLE-III
558.78861,-0.012999999999998124,0.009,OGLE-III
560.73864,0.036000000000001364,0.009,OGLE-III
561.75463,-0.0259999999999998,0.009,OGLE-III
562.77181,-0.10899999999999821,0.008,OGLE-III
567.88561,0.10900000000000176,0.009,OGLE-III
568.86124,0.08399999999999963,0.009,OGLE-III
569.85152,-0.03500000000000014,0.008,OGLE-III
571.84207,-0.02400000000000091,0.009,OGLE-III
572.91224,-0.05099999999999838,0.009,OGLE-III
573.89078,0.10200000000000031,0.009,OGLE-III
574.87358,0.12600000000000122,0.009,OGLE-III
575.90483,0.07900000000000063,0.009,OGLE-III
576.8853,-0.06299999999999883,0.009,OGLE-III
576.89317,-0.045999999999999375,0.009,OGLE-III
578.79222,0.15700000000000003,0.009,OGLE-III
581.77574,-0.10999999999999943,0.008,OGLE-III
582.80897,-0.12300000000000111,0.008,OGLE-III
583.82937,-0.06799999999999784,0.009,OGLE-III
587.90546,0.10699999999999932,0.01,OGLE-III
588.86119,-0.045999999999999375,0.009,OGLE-III
590.84283,-0.03500000000000014,0.009,OGLE-III
599.88638,0.12900000000000134,0.009,OGLE-III
600.83511,-0.0470000000000006,0.008,OGLE-III
601.67156,0.1440000000000019,0.009,OGLE-III
605.86129,0.12399999999999878,0.011,OGLE-III
606.76753,-0.11100000000000065,0.008,OGLE-III
607.76404,-0.045999999999999375,0.008,OGLE-III
608.75594,0.09299999999999997,0.009,OGLE-III
614.82716,-0.07900000000000063,0.009,OGLE-III
615.78545,0.12099999999999866,0.009,OGLE-III
616.75984,0.10800000000000054,0.01,OGLE-III
623.70567,-0.08599999999999852,0.008,OGLE-III
624.71721,-0.11100000000000065,0.008,OGLE-III
625.65259,0.11100000000000065,0.009,OGLE-III
626.80282,-0.09299999999999997,0.008,OGLE-III
628.69049,0.02500000000000213,0.008,OGLE-III
629.68129,-0.08599999999999852,0.008,OGLE-III
630.75375,-0.07000000000000028,0.009,OGLE-III
632.80928,-0.1280000000000001,0.008,OGLE-III
633.68617,0.1269999999999989,0.009,OGLE-III
635.76725,0.08500000000000085,0.009,OGLE-III
643.74631,-0.10299999999999798,0.009,OGLE-III
645.60624,0.0519999999999996,0.009,OGLE-III
652.66673,0.08699999999999974,0.009,OGLE-III
653.5654,-0.0990000000000002,0.008,OGLE-III
655.62232,-0.013999999999999346,0.008,OGLE-III
656.79788,-0.08200000000000074,0.008,OGLE-III
657.72205,0.007999999999999119,0.009,OGLE-III
657.79212,-0.08399999999999963,0.01,OGLE-III
663.72113,-0.021999999999998465,0.009,OGLE-III
665.48929,-0.05000000000000071,0.008,OGLE-III
666.58385,-0.09700000000000131,0.008,OGLE-III
667.70287,-0.08599999999999852,0.009,OGLE-III
671.52066,-0.1059999999999981,0.009,OGLE-III
684.60628,-0.09499999999999886,0.008,OGLE-III
686.62401,-0.05099999999999838,0.009,OGLE-III
688.61054,0.10600000000000165,0.009,OGLE-III
697.60343,-0.12199999999999989,0.008,OGLE-III
699.63708,-0.009000000000000341,0.009,OGLE-III
706.58088,0.13100000000000023,0.011,OGLE-III
712.53923,0.09499999999999886,0.009,OGLE-III
715.49455,-0.04299999999999926,0.009,OGLE-III
727.54704,-0.10500000000000043,0.009,OGLE-III
745.54539,-0.062000000000001165,0.009,OGLE-III
755.51987,0.1269999999999989,0.01,OGLE-III
858.873,-0.11499999999999844,0.008,OGLE-III
887.89138,0.10600000000000165,0.009,OGLE-III
895.89579,-0.0519999999999996,0.008,OGLE-III
897.84587,0.05999999999999872,0.009,OGLE-III
924.80691,0.010999999999999233,0.009,OGLE-III
928.7783,0.1490000000000009,0.009,OGLE-III
931.77685,-0.10899999999999821,0.009,OGLE-III
933.87334,-0.13400000000000034,0.008,OGLE-III
936.79933,0.05000000000000071,0.009,OGLE-III
937.82024,-0.015000000000000568,0.009,OGLE-III
939.78106,-0.02400000000000091,0.009,OGLE-III
941.77753,0.11100000000000065,0.009,OGLE-III
944.76618,-0.0779999999999994,0.009,OGLE-III
950.73298,-0.05999999999999872,0.009,OGLE-III
951.80257,-0.1059999999999981,0.008,OGLE-III
952.81428,-0.04499999999999815,0.009,OGLE-III
953.7275,0.09100000000000108,0.009,OGLE-III
964.71106,0.17999999999999972,0.009,OGLE-III
965.89583,-0.08899999999999864,0.009,OGLE-III
966.90141,-0.019999999999999574,0.009,OGLE-III
971.88105,-0.10299999999999798,0.009,OGLE-III
985.64939,-0.1490000000000009,0.006,OGLE-III
987.81489,-0.05999999999999872,0.008,OGLE-III
988.68021,0.125,0.009,OGLE-III
990.70488,0.08000000000000185,0.009,OGLE-III
991.59693,-0.10500000000000043,0.01,OGLE-III
997.72494,0.045999999999999375,0.009,OGLE-III
1006.65402,0.10699999999999932,0.01,OGLE-III
1021.73704,0.12600000000000122,0.009,OGLE-III
1025.61219,0.129999999999999,0.009,OGLE-III
1036.51848,0.11500000000000199,0.009,OGLE-III
1040.59957,-0.11400000000000077,0.008,OGLE-III
1043.65206,0.018000000000000682,0.009,OGLE-III
1048.58886,-0.0019999999999988916,0.009,OGLE-III
1053.67014,-0.0470000000000006,0.009,OGLE-III
1060.63116,-0.09700000000000131,0.01,OGLE-III
1064.62054,0.006000000000000227,0.009,OGLE-III
1067.66764,-0.0519999999999996,0.009,OGLE-III
1072.51034,0.0990000000000002,0.01,OGLE-III
1076.61222,0.045000000000001705,0.009,OGLE-III
1079.51135,0.1559999999999988,0.011,OGLE-III
1087.53221,0.03399999999999892,0.009,OGLE-III
1090.51064,-0.021000000000000796,0.01,OGLE-III
1093.60702,0.13899999999999935,0.01,OGLE-III
1102.51609,-0.06299999999999883,0.009,OGLE-III
1113.51982,-0.11799999999999855,0.012,OGLE-III
1229.88131,0.1039999999999992,0.009,OGLE-III
1239.84135,0.04299999999999926,0.01,OGLE-III
1242.87576,0.05799999999999983,0.01,OGLE-III
1253.88764,0.13400000000000034,0.009,OGLE-III
1256.89575,-0.06400000000000006,0.009,OGLE-III
1258.89268,-0.04100000000000037,0.009,OGLE-III
1261.84131,-0.05099999999999838,0.009,OGLE-III
1266.89136,0.1410000000000018,0.009,OGLE-III
1268.88304,-0.05999999999999872,0.009,OGLE-III
1279.84905,0.0519999999999996,0.009,OGLE-III
1281.90908,-0.05000000000000071,0.009,OGLE-III
1289.8664,-0.012000000000000455,0.009,OGLE-III
1290.84255,0.13100000000000023,0.009,OGLE-III
1291.82726,0.07000000000000028,0.009,OGLE-III
1291.91181,0.16199999999999903,0.009,OGLE-III
1294.82595,-0.04100000000000037,0.009,OGLE-III
1295.83665,0.045000000000001705,0.009,OGLE-III
1296.84078,0.13700000000000045,0.009,OGLE-III
1298.85806,0.036000000000001364,0.012,OGLE-III
1299.92517,0.05100000000000193,0.01,OGLE-III
1301.72998,0.09700000000000131,0.014,OGLE-III
1305.74106,-0.045999999999999375,0.009,OGLE-III
1306.74998,0.054000000000002046,0.009,OGLE-III
1307.78655,0.11200000000000188,0.012,OGLE-III
1310.80128,-0.05099999999999838,0.008,OGLE-III
1313.85694,-0.08099999999999952,0.009,OGLE-III
1315.83454,0.1269999999999989,0.009,OGLE-III
1316.67267,-0.07399999999999807,0.009,OGLE-III
1317.77773,-0.11899999999999977,0.009,OGLE-III
1318.89309,-0.053999999999998494,0.009,OGLE-III
1319.77447,0.06800000000000139,0.009,OGLE-III
1320.79997,0.12900000000000134,0.01,OGLE-III
1327.86104,0.09600000000000009,0.014,OGLE-III
1332.80411,0.05799999999999983,0.009,OGLE-III
1333.83666,0.125,0.012,OGLE-III
1335.65069,-0.036999999999999034,0.009,OGLE-III
1338.69959,0.10800000000000054,0.01,OGLE-III
1338.84881,-0.036000000000001364,0.009,OGLE-III
1339.61318,-0.10899999999999821,0.008,OGLE-III
1339.72097,0.062000000000001165,0.01,OGLE-III
1339.90345,-0.07000000000000028,0.01,OGLE-III
1340.61943,-0.0730000000000004,0.009,OGLE-III
1340.76265,0.013000000000001677,0.009,OGLE-III
1340.86877,0.125,0.01,OGLE-III
1341.68321,-0.10200000000000031,0.009,OGLE-III
1341.90183,0.13299999999999912,0.011,OGLE-III
1342.5947,0.12300000000000111,0.01,OGLE-III
1342.72286,-0.06500000000000128,0.008,OGLE-III
1342.81828,-0.06500000000000128,0.009,OGLE-III
1343.81598,-0.10899999999999821,0.009,OGLE-III
1345.75219,0.10999999999999943,0.011,OGLE-III
1346.6538,-0.11700000000000088,0.008,OGLE-III
1346.75421,0.053000000000000824,0.009,OGLE-III
1346.86363,0.19099999999999895,0.009,OGLE-III
1347.6575,-0.053000000000000824,0.009,OGLE-III
1347.75778,-0.05900000000000105,0.009,OGLE-III
1348.62043,0.13599999999999923,0.01,OGLE-III
1348.71727,-0.07900000000000063,0.009,OGLE-III
1348.84445,0.007999999999999119,0.009,OGLE-III
1349.61821,0.1180000000000021,0.009,OGLE-III
1349.73098,-0.012000000000000455,0.009,OGLE-III
1349.85372,-0.08899999999999864,0.009,OGLE-III
1350.68102,0.12199999999999989,0.009,OGLE-III
