HJD,MAG,ERR,SRV
551.90273,0.1280000000000001,0.007,OGLE-III
552.81104,-0.07499999999999929,0.006,OGLE-III
553.8657,0.10800000000000054,0.007,OGLE-III
554.74413,-0.03399999999999892,0.007,OGLE-III
557.72868,0.06400000000000006,0.008,OGLE-III
558.77361,-0.11599999999999966,0.007,OGLE-III
559.78024,0.09800000000000075,0.008,OGLE-III
561.71924,0.11000000000000121,0.008,OGLE-III
562.74221,-0.08899999999999864,0.007,OGLE-III
563.83426,-0.08299999999999841,0.007,OGLE-III
566.69335,-0.06099999999999994,0.01,OGLE-III
567.74182,-0.058999999999999275,0.007,OGLE-III
568.74038,0.0860000000000003,0.008,OGLE-III
569.70836,-0.05299999999999905,0.01,OGLE-III
570.70312,0.06300000000000061,0.008,OGLE-III
571.91688,0.09000000000000163,0.008,OGLE-III
572.76782,0.09200000000000053,0.009,OGLE-III
573.80314,0.008000000000000895,0.007,OGLE-III
574.70041,0.12100000000000222,0.008,OGLE-III
575.72294,-0.0649999999999995,0.007,OGLE-III
576.70473,0.08200000000000074,0.007,OGLE-III
577.80698,0.0940000000000012,0.008,OGLE-III
578.65495,0.1180000000000021,0.009,OGLE-III
581.84776,0.014000000000001123,0.007,OGLE-III
581.92006,-0.08299999999999841,0.007,OGLE-III
582.85821,0.034000000000000696,0.008,OGLE-III
583.88091,-0.08299999999999841,0.007,OGLE-III
588.80145,0.08800000000000097,0.008,OGLE-III
590.89486,-0.005999999999998451,0.009,OGLE-III
600.62195,0.10000000000000142,0.008,OGLE-III
601.64009,-0.1039999999999992,0.007,OGLE-III
601.9029,-0.007999999999999119,0.007,OGLE-III
605.84657,-0.017999999999998906,0.008,OGLE-III
606.81965,-0.0030000000000001137,0.007,OGLE-III
607.81624,-0.023999999999999133,0.007,OGLE-III
608.80792,0.028999999999999915,0.007,OGLE-III
614.88063,-0.010999999999999233,0.008,OGLE-III
615.83748,-0.05599999999999916,0.008,OGLE-III
616.83977,0.016000000000000014,0.009,OGLE-III
622.81665,-0.08499999999999908,0.007,OGLE-III
623.85127,0.10400000000000098,0.008,OGLE-III
624.7753,-0.0909999999999993,0.007,OGLE-III
625.71444,0.031000000000000583,0.008,OGLE-III
626.76027,-0.10199999999999854,0.007,OGLE-III
627.75962,0.11700000000000088,0.009,OGLE-III
628.77326,-0.09499999999999886,0.007,OGLE-III
629.7865,0.08500000000000085,0.01,OGLE-III
632.65754,-0.11999999999999922,0.007,OGLE-III
633.78344,-0.04800000000000004,0.007,OGLE-III
635.84411,-0.1039999999999992,0.008,OGLE-III
643.67567,-0.10199999999999854,0.007,OGLE-III
645.7922,0.06700000000000017,0.009,OGLE-III
652.72052,-0.11099999999999888,0.007,OGLE-III
655.60701,0.06500000000000128,0.007,OGLE-III
656.69151,-0.08499999999999908,0.007,OGLE-III
657.77677,-0.07699999999999996,0.008,OGLE-III
