HJD,MAG,ERR,SRV
2125.68742,-0.13700000000000045,0.006,OGLE-III
2129.74032,-0.06899999999999906,0.005,OGLE-III
2132.68258,0.009999999999999787,0.005,OGLE-III
2136.586,-0.11999999999999922,0.005,OGLE-III
2141.6011,-0.05599999999999916,0.005,OGLE-III
2144.68366,0.051000000000000156,0.005,OGLE-III
2160.64056,0.0009999999999994458,0.006,OGLE-III
2170.58146,0.0940000000000012,0.006,OGLE-III
2178.59224,0.03200000000000003,0.009,OGLE-III
2188.54138,-0.0860000000000003,0.006,OGLE-III
2211.54466,0.11400000000000077,0.007,OGLE-III
2333.88174,0.03200000000000003,0.006,OGLE-III
2344.84303,0.12100000000000044,0.006,OGLE-III
2355.89389,-0.1169999999999991,0.005,OGLE-III
2364.8864,0.038000000000000256,0.006,OGLE-III
2372.89729,-0.04899999999999949,0.005,OGLE-III
2391.92743,-0.07899999999999885,0.006,OGLE-III
2405.83471,0.10800000000000054,0.006,OGLE-III
2414.88323,0.06600000000000072,0.006,OGLE-III
2416.89583,-0.09999999999999964,0.006,OGLE-III
2424.75451,0.10400000000000098,0.007,OGLE-III
2428.73973,0.11500000000000021,0.005,OGLE-III
2434.77929,-0.06700000000000017,0.005,OGLE-III
2436.82725,-0.054999999999999716,0.005,OGLE-III
2438.80091,-0.036999999999999034,0.005,OGLE-III
2441.76324,0.08000000000000007,0.005,OGLE-III
2445.67956,-0.06400000000000006,0.005,OGLE-III
2448.70309,0.12700000000000067,0.007,OGLE-III
2459.69183,-0.02099999999999902,0.005,OGLE-III
2460.70983,0.11599999999999966,0.006,OGLE-III
2463.59112,0.1120000000000001,0.005,OGLE-III
2466.61391,-0.05799999999999983,0.005,OGLE-III
2468.74013,0.07900000000000063,0.005,OGLE-III
2470.72394,-0.09999999999999964,0.005,OGLE-III
2472.75438,0.018000000000000682,0.005,OGLE-III
2481.6078,-0.10899999999999999,0.006,OGLE-III
2484.6711,0.13000000000000078,0.006,OGLE-III
2486.76385,0.002000000000000668,0.007,OGLE-III
2490.74697,-0.0030000000000001137,0.007,OGLE-III
2493.69173,0.057000000000000384,0.005,OGLE-III
2496.53773,-0.051000000000000156,0.005,OGLE-III
2498.55835,-0.03399999999999892,0.005,OGLE-III
2500.60182,0.06799999999999962,0.005,OGLE-III
2502.61544,-0.125,0.005,OGLE-III
2508.71367,0.0,0.006,OGLE-III
2517.56454,-0.11599999999999966,0.005,OGLE-III
2520.63203,0.1120000000000001,0.006,OGLE-III
2529.49792,-0.12199999999999989,0.005,OGLE-III
2538.54963,-0.06599999999999895,0.006,OGLE-III
2542.57738,-0.11099999999999888,0.005,OGLE-III
2548.5059,-0.0009999999999994458,0.006,OGLE-III
2552.5422,0.0600000000000005,0.006,OGLE-III
2557.5074,-0.13299999999999912,0.005,OGLE-III
2564.52881,0.09299999999999997,0.006,OGLE-III
2708.85597,0.04499999999999993,0.005,OGLE-III
2719.86166,-0.1269999999999989,0.005,OGLE-III
2729.88355,0.125,0.006,OGLE-III
2734.82251,-0.0730000000000004,0.005,OGLE-III
2747.74665,0.005000000000000782,0.006,OGLE-III
2753.9317,-0.007999999999999119,0.007,OGLE-III
2757.85902,0.13900000000000112,0.007,OGLE-III
2764.78031,0.12899999999999956,0.006,OGLE-III
2767.85408,-0.11899999999999977,0.006,OGLE-III
2775.77099,-0.054999999999999716,0.006,OGLE-III
2782.69231,-0.09699999999999953,0.006,OGLE-III
2784.615,-0.05400000000000027,0.005,OGLE-III
2786.83835,0.0259999999999998,0.006,OGLE-III
2790.74939,-0.11099999999999888,0.005,OGLE-III
2795.63692,0.14000000000000057,0.005,OGLE-III
2797.64888,-0.13299999999999912,0.005,OGLE-III
2802.74127,-0.12400000000000055,0.006,OGLE-III
2809.77054,0.0990000000000002,0.006,OGLE-III
2811.69101,0.022999999999999687,0.006,OGLE-III
2812.82032,-0.04800000000000004,0.005,OGLE-III
2813.86412,0.0730000000000004,0.006,OGLE-III
2815.84477,-0.09299999999999997,0.005,OGLE-III
2816.86575,-0.10500000000000043,0.005,OGLE-III
2818.63547,-0.04400000000000048,0.005,OGLE-III
2819.81199,-0.125,0.005,OGLE-III
2821.6978,-0.007999999999999119,0.005,OGLE-III
2826.8184,0.07699999999999996,0.006,OGLE-III
2835.68331,-0.009999999999999787,0.006,OGLE-III
2837.691,0.011000000000001009,0.006,OGLE-III
2838.82677,0.08099999999999952,0.007,OGLE-III
2840.7441,0.06799999999999962,0.006,OGLE-III
2843.69609,-0.051000000000000156,0.005,OGLE-III
2845.69272,0.019999999999999574,0.005,OGLE-III
