HJD,MAG,ERR,SRV
551.82171,-0.04399999999999693,0.008,OGLE-III
553.7409,-0.06999999999999673,0.008,OGLE-III
557.74187,0.10000000000000142,0.01,OGLE-III
558.78785,-0.04299999999999926,0.008,OGLE-III
560.73789,-0.04099999999999682,0.009,OGLE-III
561.75387,-0.03200000000000003,0.008,OGLE-III
562.77105,0.10800000000000054,0.009,OGLE-III
567.88485,0.11200000000000188,0.01,OGLE-III
568.86048,-0.07899999999999707,0.008,OGLE-III
569.85076,0.0730000000000004,0.009,OGLE-III
571.84131,-0.03200000000000003,0.008,OGLE-III
572.91148,0.14000000000000057,0.012,OGLE-III
573.89002,-0.1059999999999981,0.008,OGLE-III
574.87282,0.09500000000000242,0.009,OGLE-III
575.90407,0.004000000000001336,0.01,OGLE-III
576.88455,-0.0329999999999977,0.008,OGLE-III
576.89242,-0.038999999999997925,0.008,OGLE-III
578.79147,0.04800000000000182,0.008,OGLE-III
581.77499,0.09500000000000242,0.008,OGLE-III
582.80821,-0.0990000000000002,0.008,OGLE-III
583.82862,0.05700000000000216,0.01,OGLE-III
587.9047,-0.04099999999999682,0.01,OGLE-III
588.86043,0.09100000000000108,0.009,OGLE-III
590.84207,-0.012999999999998124,0.01,OGLE-III
599.88562,-0.08599999999999852,0.008,OGLE-III
600.83435,0.13700000000000045,0.008,OGLE-III
601.6708,0.06700000000000017,0.008,OGLE-III
605.86053,0.11000000000000298,0.012,OGLE-III
606.76677,-0.038999999999997925,0.008,OGLE-III
607.76328,0.09100000000000108,0.009,OGLE-III
608.75518,-0.0849999999999973,0.008,OGLE-III
614.8264,0.12199999999999989,0.009,OGLE-III
615.78469,-0.11499999999999844,0.008,OGLE-III
616.75908,0.13100000000000023,0.01,OGLE-III
623.70491,0.120000000000001,0.009,OGLE-III
624.71645,-0.08299999999999841,0.009,OGLE-III
625.65184,0.1280000000000001,0.009,OGLE-III
626.80206,0.12300000000000111,0.009,OGLE-III
628.68973,0.06099999999999994,0.009,OGLE-III
629.68053,-0.06899999999999906,0.008,OGLE-III
630.75299,0.1130000000000031,0.009,OGLE-III
632.80853,-0.08899999999999864,0.009,OGLE-III
633.68541,-0.021999999999998465,0.008,OGLE-III
635.7665,0.13100000000000023,0.01,OGLE-III
643.74555,-0.04999999999999716,0.009,OGLE-III
645.60548,-0.08099999999999952,0.008,OGLE-III
652.66597,-0.08699999999999974,0.008,OGLE-III
653.56464,0.0940000000000012,0.008,OGLE-III
655.62156,0.017000000000003013,0.008,OGLE-III
656.79712,-0.03599999999999781,0.008,OGLE-III
657.7213,-0.06199999999999761,0.009,OGLE-III
657.79136,0.06900000000000261,0.012,OGLE-III
663.72037,0.11700000000000088,0.01,OGLE-III
665.48853,-0.027999999999998693,0.008,OGLE-III
666.5831,-0.09600000000000009,0.008,OGLE-III
667.70212,-0.05299999999999727,0.008,OGLE-III
671.5199,0.008000000000002672,0.01,OGLE-III
684.60552,0.13500000000000156,0.009,OGLE-III
686.62325,0.07000000000000028,0.009,OGLE-III
688.60978,-0.020999999999997243,0.008,OGLE-III
697.60267,-0.10499999999999687,0.008,OGLE-III
699.63632,-0.020999999999997243,0.009,OGLE-III
706.58013,-0.10699999999999932,0.01,OGLE-III
712.53848,0.13500000000000156,0.01,OGLE-III
715.49379,-0.11399999999999721,0.01,OGLE-III
727.54628,-0.07899999999999707,0.01,OGLE-III
745.54463,0.13100000000000023,0.011,OGLE-III
755.51911,0.0070000000000014495,0.01,OGLE-III
858.87224,0.030000000000001137,0.01,OGLE-III
887.89062,0.13000000000000256,0.01,OGLE-III
895.89503,-0.06400000000000006,0.008,OGLE-III
897.84512,-0.04099999999999682,0.008,OGLE-III
