HJD,MAG,ERR,SRV
531.89429,-0.08399999999999963,0.011,OGLE-III
542.90192,-0.053999999999998494,0.009,OGLE-III
551.74833,-0.06400000000000006,0.006,OGLE-III
552.73749,0.11300000000000132,0.006,OGLE-III
553.81845,0.09500000000000064,0.006,OGLE-III
554.8912,-0.007999999999999119,0.006,OGLE-III
557.84626,0.07900000000000063,0.007,OGLE-III
558.91683,0.08900000000000041,0.007,OGLE-III
560.84416,0.011000000000001009,0.006,OGLE-III
562.83289,0.034000000000000696,0.006,OGLE-III
567.92068,0.014000000000001123,0.007,OGLE-III
568.85422,0.11000000000000121,0.006,OGLE-III
569.82158,-0.08699999999999974,0.006,OGLE-III
570.83401,0.12200000000000166,0.006,OGLE-III
571.76031,-0.05999999999999872,0.006,OGLE-III
572.84461,0.07000000000000028,0.007,OGLE-III
573.88362,0.062000000000001165,0.006,OGLE-III
574.84371,0.0030000000000001137,0.006,OGLE-III
575.822,-0.0129999999999999,0.006,OGLE-III
576.80267,0.07699999999999996,0.006,OGLE-III
578.76081,0.10299999999999976,0.006,OGLE-III
582.75993,0.02400000000000091,0.006,OGLE-III
587.85367,0.014000000000001123,0.006,OGLE-III
588.75864,-0.08399999999999963,0.006,OGLE-III
590.79066,-0.06400000000000006,0.008,OGLE-III
599.83453,-0.07599999999999874,0.006,OGLE-III
600.75527,0.04800000000000004,0.006,OGLE-III
601.82663,-0.058999999999999275,0.006,OGLE-III
605.77033,-0.08999999999999986,0.006,OGLE-III
606.68764,0.028999999999999915,0.006,OGLE-III
607.68403,-0.06299999999999883,0.006,OGLE-III
608.67578,0.04499999999999993,0.008,OGLE-III
614.74764,-0.03799999999999848,0.006,OGLE-III
615.7055,-0.04299999999999926,0.006,OGLE-III
616.67956,0.10599999999999987,0.006,OGLE-III
623.83516,-0.0779999999999994,0.006,OGLE-III
624.63533,0.018000000000000682,0.006,OGLE-III
625.74451,0.0840000000000014,0.007,OGLE-III
626.62785,-0.049999999999998934,0.006,OGLE-III
627.84199,-0.07499999999999929,0.007,OGLE-III
628.65823,-0.09199999999999875,0.006,OGLE-III
629.62829,0.05200000000000138,0.006,OGLE-III
630.72209,0.0030000000000001137,0.006,OGLE-III
632.75712,0.09299999999999997,0.007,OGLE-III
633.76842,-0.08799999999999919,0.006,OGLE-III
635.73768,-0.08099999999999952,0.006,OGLE-III
645.69761,-0.04299999999999926,0.006,OGLE-III
653.65381,0.023000000000001464,0.006,OGLE-III
665.72422,-0.08599999999999852,0.006,OGLE-III
