HJD,MAG,ERR,SRV
1763.62804,0.14199999999999946,0.009,OGLE-III
1764.66294,0.11299999999999955,0.009,OGLE-III
1765.68592,0.05600000000000094,0.009,OGLE-III
1769.6382,0.11700000000000088,0.01,OGLE-III
1772.65014,-0.09499999999999886,0.009,OGLE-III
1775.66438,0.11899999999999977,0.009,OGLE-III
1776.68967,0.062000000000001165,0.008,OGLE-III
1777.67661,-0.10799999999999876,0.008,OGLE-III
1783.67678,-0.10799999999999876,0.008,OGLE-III
1784.66439,-0.030999999999998806,0.008,OGLE-III
1786.59063,-0.02200000000000024,0.008,OGLE-III
1788.62737,-0.10899999999999999,0.008,OGLE-III
1804.6375,-0.08799999999999919,0.01,OGLE-III
1806.53318,0.10800000000000054,0.01,OGLE-III
1810.57071,-0.025000000000000355,0.008,OGLE-III
1812.59321,0.13599999999999923,0.01,OGLE-III
1815.50879,0.08300000000000196,0.01,OGLE-III
1818.59627,0.11400000000000077,0.01,OGLE-III
1825.57218,-0.10899999999999999,0.008,OGLE-III
2125.62263,0.11200000000000188,0.017,OGLE-III
2129.6977,-0.10699999999999932,0.008,OGLE-III
2132.63925,-0.02999999999999936,0.008,OGLE-III
2136.5433,-0.0519999999999996,0.01,OGLE-III
2141.55508,0.06400000000000006,0.008,OGLE-III
2144.64466,-0.1349999999999998,0.008,OGLE-III
2160.61281,-0.15399999999999991,0.009,OGLE-III
2169.52663,-0.10899999999999999,0.01,OGLE-III
2211.50713,0.11599999999999966,0.013,OGLE-III
2332.87486,0.08399999999999963,0.011,OGLE-III
2347.83874,0.15200000000000102,0.009,OGLE-III
2357.86625,-0.027999999999998693,0.008,OGLE-III
2372.85416,-0.11500000000000021,0.008,OGLE-III
2383.82603,-0.09600000000000009,0.008,OGLE-III
2388.79677,-0.10099999999999909,0.009,OGLE-III
2390.82616,0.1440000000000019,0.009,OGLE-III
2397.70641,-0.10699999999999932,0.008,OGLE-III
2401.83554,0.13700000000000045,0.01,OGLE-III
2403.91251,0.1529999999999987,0.009,OGLE-III
2405.89994,-0.09699999999999953,0.008,OGLE-III
2414.90496,0.13899999999999935,0.013,OGLE-III
2416.85729,-0.11800000000000033,0.009,OGLE-III
2424.82468,0.125,0.01,OGLE-III
2428.85327,-0.0030000000000001137,0.009,OGLE-III
2434.75162,0.10600000000000165,0.009,OGLE-III
2436.80037,-0.07599999999999874,0.01,OGLE-III
2438.76112,0.11200000000000188,0.009,OGLE-III
2441.73886,-0.10500000000000043,0.008,OGLE-III
2445.6447,-0.10899999999999999,0.008,OGLE-III
2448.66638,0.16199999999999903,0.011,OGLE-III
2455.70304,0.1440000000000019,0.008,OGLE-III
2459.62312,0.12399999999999878,0.007,OGLE-III
2463.55442,0.15200000000000102,0.01,OGLE-III
2466.65358,-0.0009999999999994458,0.009,OGLE-III
2468.6838,-0.10999999999999943,0.008,OGLE-III
2470.66625,0.15000000000000213,0.009,OGLE-III
2472.69436,0.028999999999999915,0.008,OGLE-III
2481.57086,0.009999999999999787,0.01,OGLE-III
2484.6334,-0.07000000000000028,0.009,OGLE-III
2486.72545,-0.041999999999999815,0.01,OGLE-III
2490.69366,-0.11800000000000033,0.008,OGLE-III
2493.6552,0.053000000000000824,0.009,OGLE-III
2495.7571,-0.004999999999999005,0.009,OGLE-III
2498.52064,-0.10299999999999976,0.008,OGLE-III
2500.56515,-0.019000000000000128,0.008,OGLE-III
2502.57635,0.13700000000000045,0.009,OGLE-III
2508.67673,0.14000000000000057,0.011,OGLE-III
2512.62308,0.02500000000000213,0.009,OGLE-III
2517.57694,0.08399999999999963,0.009,OGLE-III
2520.59229,-0.04399999999999871,0.008,OGLE-III
2528.49757,0.12600000000000122,0.01,OGLE-III
2538.50401,0.15200000000000102,0.01,OGLE-III
2542.53128,-0.10200000000000031,0.009,OGLE-III
2552.50525,-0.08799999999999919,0.009,OGLE-III
2556.58935,0.16100000000000136,0.011,OGLE-III
2563.50378,-0.09699999999999953,0.008,OGLE-III
2575.53194,-0.11599999999999966,0.008,OGLE-III
2707.87662,0.05100000000000193,0.008,OGLE-III
2714.912,0.16000000000000014,0.009,OGLE-III
2729.84592,0.129999999999999,0.011,OGLE-III
2733.92607,-0.09499999999999886,0.013,OGLE-III
2744.9239,-0.10999999999999943,0.008,OGLE-III
2753.89807,0.06599999999999895,0.01,OGLE-III
2757.81008,0.1039999999999992,0.009,OGLE-III
2761.82718,0.10900000000000176,0.009,OGLE-III
2767.80529,0.16600000000000037,0.012,OGLE-III
2775.73162,-0.08099999999999952,0.012,OGLE-III
2783.83563,0.10900000000000176,0.009,OGLE-III
2785.76127,-0.08900000000000041,0.008,OGLE-III
2787.6116,0.027000000000001023,0.009,OGLE-III
2789.76832,0.08800000000000097,0.009,OGLE-III
2791.72473,-0.07000000000000028,0.008,OGLE-III
2794.93915,-0.09399999999999942,0.01,OGLE-III
2796.83848,0.04200000000000159,0.008,OGLE-III
2797.8997,0.0,0.014,OGLE-III
2809.72762,0.13800000000000168,0.01,OGLE-III
2811.6547,-0.14199999999999946,0.014,OGLE-III
2812.72646,-0.1169999999999991,0.009,OGLE-III
2813.83573,-0.05799999999999983,0.008,OGLE-III
2814.75931,-0.013999999999999346,0.009,OGLE-III
2816.624,-0.11099999999999888,0.008,OGLE-III
2818.59527,0.1509999999999998,0.009,OGLE-III
2820.80194,-0.036999999999999034,0.008,OGLE-III
2826.76543,0.12900000000000134,0.011,OGLE-III
2835.64959,0.14199999999999946,0.011,OGLE-III
2839.71885,-0.10500000000000043,0.008,OGLE-III
