HJD,MAG,ERR
6524.61947,16.091,0.006
6525.62548,15.385,0.005
6527.63021,16.086,0.007
6530.67493,16.052,0.007
6531.68007,15.330,0.004
6532.67550,15.810,0.006
6534.54927,16.057,0.006
6536.47948,15.426,0.005
6538.57044,16.201,0.007
6539.62410,15.830,0.004
6541.62120,16.144,0.005
6544.52246,16.050,0.006
6545.57553,15.350,0.004
6546.61816,15.941,0.006
6552.58166,15.646,0.006
6556.64090,16.034,0.007
6559.51384,15.597,0.005
6560.57194,16.061,0.006
6562.53119,15.493,0.005
6563.57418,16.022,0.007
6564.51247,16.059,0.007
6564.59821,16.179,0.007
6565.57580,15.573,0.005
6568.54866,15.507,0.006
6569.50932,15.673,0.005
6569.59146,15.896,0.005
6570.56921,16.045,0.007
6571.58168,15.625,0.006
6572.54186,15.647,0.005
6573.50503,15.916,0.006
6573.59242,16.062,0.006
6578.56484,15.426,0.005
6579.52138,15.756,0.006
6581.57697,15.332,0.005
6582.58125,15.829,0.006
6583.57154,16.047,0.008
6584.57166,16.166,0.010
6585.56824,15.674,0.006
6590.53994,16.042,0.007
6592.54805,15.797,0.007
6593.53071,16.048,0.007
6698.86551,15.821,0.006
6700.87068,15.980,0.006
6702.88919,16.064,0.007
6705.86234,15.950,0.007
6707.85985,15.390,0.005
6708.88290,15.902,0.005
6710.83943,16.155,0.006
6715.83314,15.942,0.005
6716.82699,16.082,0.005
6717.82933,15.337,0.005
6718.84715,15.879,0.006
6719.84482,16.069,0.006
6720.82065,16.142,0.006
6721.80411,15.669,0.006
6721.89281,15.896,0.005
6722.87875,16.073,0.006
6723.85526,16.153,0.006
6724.83559,15.643,0.006
6725.81001,15.931,0.006
6725.90537,16.064,0.006
6726.87356,16.187,0.007
6727.84233,15.503,0.004
6728.80975,15.836,0.005
6728.90541,16.045,0.006
6729.86486,16.111,0.006
6730.81585,15.776,0.006
6731.86468,15.882,0.007
6732.82389,16.042,0.007
6732.91425,16.103,0.007
6733.85633,15.685,0.005
6734.79107,15.535,0.005
6734.88675,15.846,0.005
6735.83457,16.021,0.006
6736.76596,16.070,0.007
6736.86934,16.186,0.007
6737.82076,15.494,0.004
6737.89875,15.768,0.005
6742.82685,16.081,0.005
6742.91304,16.150,0.006
6744.83573,15.764,0.005
6745.76941,15.948,0.006
6745.83079,16.063,0.006
6745.91793,16.095,0.006
6747.83299,15.638,0.005
6748.79120,15.894,0.006
6749.80204,16.085,0.006
6750.81629,15.396,0.004
6751.84270,15.918,0.005
6752.81624,16.075,0.006
6754.80469,15.742,0.006
6755.82554,16.078,0.006
6756.77913,16.097,0.005
6757.73961,15.327,0.004
6757.92590,15.947,0.006
6759.71171,16.044,0.006
6759.90246,15.359,0.004
6760.85205,15.654,0.004
6761.78895,15.853,0.005
6762.73455,16.022,0.006
6763.70799,16.096,0.006
6763.89031,15.650,0.005
6764.81879,15.828,0.005
6765.74175,15.967,0.006
6765.92517,16.191,0.007
6768.89938,16.080,0.005
6769.79785,16.100,0.006
6770.69882,16.170,0.006
6770.86149,15.738,0.005
6771.81162,15.935,0.005
6772.91640,15.421,0.004
6773.83462,15.507,0.005
6774.74768,15.696,0.005
6775.71194,15.929,0.005
6775.91498,16.210,0.006
6776.82963,15.325,0.004
6777.81072,15.765,0.005
6784.72330,15.678,0.006
6784.90578,16.069,0.007
6785.70198,15.955,0.006
6785.90172,16.153,0.007
6786.71044,16.085,0.007
6786.92427,15.765,0.006
6789.68106,16.059,0.007
6789.85517,15.326,0.005
6790.71150,15.355,0.005
6790.88336,15.898,0.007
6791.72431,15.843,0.007
6791.89503,16.088,0.007
6792.71467,16.068,0.007
6792.87416,15.454,0.005
6796.66774,16.076,0.007
6796.84043,15.541,0.005
6797.70498,15.532,0.005
6797.87277,16.000,0.007
6798.86482,16.083,0.008
6803.64807,16.115,0.007
6803.82061,15.692,0.005
6804.58876,15.473,0.005
6804.76975,15.900,0.006
6804.93540,16.083,0.008
6805.75964,16.073,0.007
6805.93109,15.447,0.006
6807.71787,15.674,0.006
6807.88669,16.055,0.007
6808.67811,15.927,0.007
6808.86569,16.160,0.007
6809.64905,16.055,0.006
6809.85908,15.546,0.005
6810.65038,15.853,0.006
6810.84557,15.896,0.006
6811.61493,15.643,0.006
6811.81171,16.058,0.007
6813.67438,16.124,0.007
6813.87375,15.886,0.006
6814.71028,15.817,0.006
6814.88931,16.081,0.007
6815.67761,16.023,0.007
6815.89098,15.346,0.005
6816.73074,15.693,0.006
6817.58987,15.968,0.007
6817.76667,15.862,0.006
6817.93426,16.105,0.008
6819.59422,16.049,0.007
6819.74658,16.150,0.007
6823.75628,15.606,0.006
6823.91747,16.038,0.007
6824.72904,15.911,0.006
6824.90050,16.109,0.008
6825.69400,16.053,0.007
6825.87636,15.364,0.005
6826.63418,16.083,0.007
6826.83398,15.756,0.006
6827.62124,15.423,0.004
6827.83057,16.036,0.007
6828.59317,15.806,0.005
6828.80198,16.088,0.007
6829.54704,16.012,0.007
6829.73268,16.073,0.007
6830.52249,16.101,0.009
6830.71100,15.650,0.004
6830.88094,16.063,0.007
6831.79042,16.075,0.006
6832.59111,16.016,0.007
6832.77856,15.882,0.007
6833.60938,16.190,0.007
6833.79568,15.794,0.006
6834.57301,15.477,0.006
6834.75652,16.010,0.007
6835.58136,15.901,0.007
6835.76417,16.148,0.007
6836.55095,16.068,0.007
6836.73837,15.449,0.006
6837.52469,16.206,0.007
6837.70571,15.806,0.006
6837.85982,16.069,0.007
6838.64017,15.976,0.006
6838.82401,16.195,0.008
6839.60847,16.073,0.007
6839.79544,15.544,0.006
6840.60845,15.360,0.006
6840.80012,15.952,0.007
6841.68953,15.981,0.007
6841.84584,16.165,0.008
6842.67386,16.093,0.007
6842.83712,15.557,0.006
6844.62351,15.741,0.005
6844.81202,16.085,0.007
6845.55407,15.909,0.006
6845.73394,16.097,0.006
6847.51074,16.183,0.007
6847.65376,15.718,0.006
6847.79146,16.055,0.007
6851.53838,15.664,0.006
6851.71034,16.065,0.007
6852.52660,15.972,0.007
6852.72860,16.095,0.009
6855.50336,15.815,0.006
6855.69137,16.097,0.007
6856.48731,16.079,0.007
6856.67268,15.336,0.005
6857.48898,16.177,0.007
6857.67358,15.824,0.006
6858.50149,15.719,0.005
6858.68677,16.074,0.006
6859.63465,16.152,0.007
6862.58693,16.070,0.007
6862.76278,15.399,0.005
6863.63313,15.406,0.005
6864.47178,15.365,0.006
6864.66172,15.937,0.006
6865.69405,16.116,0.006
6870.56189,15.352,0.005
6871.55581,15.816,0.006
6872.64978,16.158,0.007
6874.50242,15.533,0.006
6879.54671,16.063,0.009
6879.75827,15.713,0.007
6880.70991,15.911,0.008
6881.64958,16.053,0.007
6882.58202,16.076,0.007
6883.49584,16.156,0.007
6884.72170,16.071,0.007
6885.65357,16.115,0.007
6886.57852,15.962,0.006
6887.47893,15.332,0.005
6887.67600,15.988,0.006
6888.60921,16.057,0.007
6889.56020,16.119,0.007
6890.47927,16.067,0.007
6890.66986,15.877,0.007
6891.61487,16.052,0.007
6895.57034,16.069,0.006
6896.52803,16.182,0.007
6900.49935,15.330,0.005
6907.55980,15.800,0.006
6908.52876,16.044,0.007
6909.58509,15.669,0.007
6912.60062,16.164,0.007
6915.60911,16.179,0.007
6918.60929,16.091,0.007
6921.64215,16.109,0.007
6923.48768,15.333,0.006
6924.52989,15.915,0.007
6925.57023,16.097,0.007
6926.59461,15.626,0.006
6928.51416,16.034,0.008
6929.57932,15.372,0.006
6936.55255,15.525,0.006
6937.54961,15.930,0.007
6938.54906,16.064,0.008
6940.50913,15.727,0.006
6941.52734,16.072,0.008
6942.56690,15.493,0.006
6944.51174,15.968,0.007
6947.53018,15.914,0.007
6951.49408,16.055,0.007
6953.51213,15.688,0.006
6955.52550,16.157,0.007
7063.89226,16.073,0.008
7066.86121,15.965,0.007
7069.88432,15.919,0.006
7071.84309,16.126,0.007
7072.85093,15.757,0.006
7074.87973,16.119,0.008
7075.85582,15.636,0.006
7076.85731,15.990,0.006
7077.85499,16.094,0.007
7078.84571,15.416,0.005
7079.88692,15.965,0.007
7080.88076,16.093,0.007
7082.83509,15.759,0.006
7083.82971,16.059,0.007
7083.89724,16.075,0.007
7084.87732,15.701,0.005
7085.85011,15.685,0.005
7086.82919,15.968,0.007
7087.83148,16.078,0.007
7087.88518,16.203,0.007
7088.85650,15.566,0.005
7089.82105,15.879,0.006
7090.80964,16.079,0.007
7090.87755,16.088,0.007
7091.83100,15.384,0.005
7092.79700,15.710,0.005
7092.86423,15.873,0.006
7093.85311,16.070,0.006
7097.84372,16.164,0.006
7098.79454,15.357,0.004
7098.89181,15.761,0.005
7099.83341,15.955,0.006
7100.78233,16.068,0.007
7100.87306,16.140,0.006
7101.84386,15.443,0.006
7102.81942,15.828,0.006
7108.79405,15.466,0.006
7109.76313,15.834,0.006
7109.83597,16.001,0.006
7110.75503,16.075,0.006
7110.85687,16.158,0.007
7111.77784,15.735,0.005
7111.88786,15.715,0.005
7112.78523,15.786,0.006
7112.89586,16.038,0.006
7113.84103,16.080,0.006
7114.84874,15.356,0.004
7115.79292,15.694,0.005
7116.77180,15.976,0.007
7117.75396,16.099,0.007
7118.79277,15.553,0.005
7119.80320,15.979,0.007
7120.74833,16.075,0.007
7120.89331,15.631,0.005
7125.85596,15.910,0.006
7126.80044,16.049,0.006
7129.75096,15.888,0.006
7130.68872,16.062,0.007
7130.86779,15.774,0.006
7131.77681,15.391,0.005
7132.71262,15.700,0.006
7133.83866,16.114,0.007
7134.72579,16.188,0.007
7134.91149,15.774,0.005
7135.82487,15.880,0.005
7136.73395,15.982,0.007
7136.91714,16.170,0.007
7137.81235,15.707,0.005
7138.69892,15.335,0.005
7138.88552,15.945,0.006
7139.80631,16.047,0.007
7140.69971,16.065,0.007
7140.87892,15.351,0.005
7141.76200,15.419,0.004
7142.65955,15.572,0.005
7142.82819,16.013,0.006
7143.71089,16.041,0.007
7143.89457,15.493,0.005
7144.77118,15.339,0.005
7145.79698,15.870,0.006
7146.65343,15.838,0.007
7146.79032,16.056,0.007
7146.93212,15.478,0.006
7147.77303,16.146,0.007
7147.91666,15.753,0.006
7152.75690,15.918,0.007
7152.92318,16.133,0.007
7153.76012,16.083,0.006
7153.92577,15.494,0.005
7154.82306,15.634,0.005
7155.66685,15.529,0.005
7155.85546,16.045,0.007
7156.67785,15.953,0.006
7157.66110,16.083,0.006
7157.90228,15.767,0.005
7158.75496,15.725,0.005
7158.93936,16.075,0.007
7159.75674,16.048,0.007
7160.61512,16.013,0.007
7160.80247,15.924,0.006
7161.62666,16.170,0.007
7161.82839,15.813,0.005
7162.64708,15.680,0.006
7162.83162,16.073,0.006
7163.65688,16.045,0.007
7163.83974,15.902,0.006
7164.74325,15.347,0.004
7164.92572,15.957,0.007
7166.69095,16.022,0.007
7169.66447,15.891,0.006
7170.69591,16.101,0.007
7172.76458,16.028,0.007
7173.79453,16.218,0.007
7174.78228,15.626,0.005
7175.85036,16.069,0.007
7178.82181,15.982,0.007
7179.74380,16.065,0.007
7180.73763,16.182,0.007
7181.76068,15.750,0.006
7182.78053,16.056,0.007
7183.78396,16.164,0.007
7184.81896,15.796,0.006
7185.82574,16.067,0.007
7187.59819,16.093,0.007
7188.61239,15.363,0.005
7189.71542,16.058,0.007
7190.77567,15.337,0.005
7193.73633,16.170,0.006
7194.81021,15.839,0.004
7198.52747,16.197,0.007
7199.53261,15.695,0.006
7200.51389,15.984,0.006
7202.74856,16.064,0.007
7206.78078,16.174,0.007
7207.80204,15.776,0.007
7207.82246,15.807,0.007
7211.53640,16.206,0.007
7214.50289,16.063,0.007
7217.76640,15.727,0.006
7220.55960,16.079,0.006
7221.59101,15.382,0.005
7222.69644,16.056,0.007
7224.47064,16.086,0.007
7225.54481,15.633,0.006
7226.78912,15.351,0.005
7227.79984,15.871,0.007
7229.53118,15.856,0.006
7236.48084,15.872,0.007
7249.67950,16.098,0.007
7253.50800,16.069,0.007
7256.52959,16.058,0.007
7258.59620,15.846,0.007
7258.67251,16.020,0.007
7263.62212,16.159,0.007
7265.57816,15.913,0.006
7268.57777,15.842,0.005
7270.56724,16.140,0.007
7273.56899,16.157,0.007
7277.61198,15.624,0.007
7283.61780,15.340,0.006
7292.49194,15.933,0.007
7292.60992,16.080,0.009
7293.59428,15.368,0.005
7294.58733,15.804,0.007
7295.58134,16.061,0.007
7299.49786,16.066,0.007
7299.58856,16.104,0.007
7307.54052,15.568,0.006
7311.53821,15.859,0.007
7313.51177,16.193,0.008
7318.51339,15.942,0.007
7322.53788,16.100,0.009
7325.52879,16.069,0.007
7331.51787,15.907,0.007
7436.87876,15.726,0.007
7439.85614,15.471,0.006
7442.83948,15.750,0.006
7446.82894,15.614,0.005
7448.84138,16.102,0.007
7451.88376,16.107,0.007
7452.80518,16.102,0.006
7454.87933,16.072,0.007
7456.89852,15.872,0.006
7460.78595,15.841,0.006
7462.78572,16.106,0.007
7464.87941,16.102,0.006
7467.83617,16.084,0.007
7471.75941,16.077,0.007
7472.82985,15.460,0.005
7474.84094,16.098,0.007
7475.88612,15.551,0.005
7476.80009,15.728,0.006
7480.81383,15.961,0.008
7485.74913,16.183,0.007
7486.87686,15.975,0.007
7488.76215,16.107,0.007
7491.77443,16.096,0.007
7492.80714,15.548,0.005
7493.80449,15.924,0.006
7494.78107,16.082,0.007
7495.76128,16.110,0.007
7497.90750,16.191,0.007
7498.92470,15.724,0.006
7499.86937,15.911,0.007
7500.80915,16.060,0.007
7507.86588,16.124,0.006
7508.91153,15.733,0.005
7511.75666,16.118,0.006
7516.67380,15.559,0.005
7523.91179,16.115,0.007
7526.92621,16.093,0.007
7530.80693,16.078,0.007
7534.92007,15.657,0.006
7545.65849,16.119,0.007
7546.78044,16.003,0.006
7547.71405,16.064,0.007
7549.57871,15.711,0.006
7550.58526,15.806,0.006
7550.93020,15.460,0.007
7555.67646,15.328,0.005
7557.61470,15.990,0.007
7561.77594,15.448,0.005
7566.64231,15.799,0.006
7567.56644,15.938,0.007
7567.88576,15.616,0.007
7569.57700,15.399,0.005
7570.64448,16.022,0.005
7570.67286,16.075,0.006
7570.71657,16.071,0.006
7570.77348,16.112,0.007
7570.85876,15.341,0.005
7575.73169,15.746,0.005
7576.74178,16.043,0.006
7581.72957,15.416,0.005
7584.66136,16.113,0.007
7589.66509,15.863,0.007
7590.67504,16.064,0.007
7593.65560,16.040,0.006
7599.48934,15.391,0.005
7600.69534,16.088,0.007
7602.71969,15.959,0.007
7603.76260,16.154,0.007
7604.76814,15.610,0.005
7606.67960,16.047,0.007
7608.49368,16.098,0.007
7609.63496,15.892,0.006
7611.57319,16.164,0.007
7612.73066,16.009,0.007
7617.59373,16.078,0.007
7618.71258,15.822,0.007
7622.56435,15.646,0.005
7623.71720,16.140,0.007
7625.68566,15.878,0.007
7631.48317,16.105,0.007
7633.57063,16.011,0.007
7636.58426,15.995,0.007
7639.48524,15.632,0.006
7645.51555,15.445,0.006
7649.57320,15.934,0.006
7652.55134,15.789,0.006
7660.58800,16.093,0.007
7671.53733,15.377,0.006
7675.53987,15.766,0.007
7682.52230,15.878,0.006
7797.87759,15.713,0.007
7799.87221,16.131,0.007
7801.86224,15.917,0.007
7803.84220,15.694,0.007
7807.82839,15.614,0.006
7808.88527,16.073,0.007
7809.88760,16.214,0.007
7810.88417,15.681,0.006
7812.84048,16.094,0.007
7813.83145,15.419,0.005
7815.83772,16.084,0.007
7816.82941,16.199,0.008
7817.82594,15.672,0.006
7818.81219,15.989,0.006
7818.90261,16.074,0.007
7819.88903,15.930,0.006
7820.89174,15.768,0.006
7821.88936,16.037,0.007
7822.88526,16.185,0.007
7823.87037,15.543,0.005
7824.86640,15.945,0.007
7825.85818,16.092,0.007
7826.81658,16.173,0.007
7826.90658,15.542,0.005
7827.88136,15.865,0.006
7828.85069,16.068,0.007
7829.83282,16.193,0.008
7830.84413,15.688,0.006
7834.78343,15.779,0.007
7835.87544,16.090,0.007
7837.77988,15.654,0.006
7838.85114,16.080,0.007
7839.91479,15.514,0.005
7841.79891,15.959,0.007
7842.83958,16.167,0.007
7843.88138,15.742,0.006
7845.72715,16.013,0.007
7846.78541,16.054,0.007
7847.81130,15.814,0.006
7848.84061,16.075,0.007
7849.88035,15.434,0.005
7850.90976,15.959,0.006
7852.81835,16.157,0.009
7854.74525,15.788,0.006
7855.79074,16.084,0.007
7856.81722,15.419,0.006
7858.78775,16.076,0.007
7862.69747,16.072,0.007
7863.76910,15.454,0.006
7864.72765,15.795,0.006
7865.74622,16.081,0.007
7866.75839,15.663,0.005
7867.77745,15.820,0.005
7868.87541,16.163,0.008
7869.88710,15.653,0.005
7870.91350,16.036,0.006
7872.66480,16.060,0.007
7873.68371,16.108,0.007
7874.65827,15.652,0.006
7874.91462,16.102,0.007
7876.70153,16.221,0.007
7877.67910,15.579,0.005
7878.67116,15.935,0.006
7879.69185,16.104,0.007
7880.73592,15.654,0.006
7881.83166,16.093,0.007
7882.83938,15.358,0.005
7890.74913,15.764,0.006
7893.73161,15.574,0.006
7894.62311,15.666,0.006
7894.87485,16.103,0.007
7897.67916,15.740,0.006
7901.78549,16.086,0.007
7902.74407,16.207,0.007
7903.82157,15.904,0.006
7904.73454,15.996,0.006
7905.60022,16.004,0.007
7905.85623,15.447,0.005
7906.75696,15.600,0.005
7907.65170,15.707,0.006
7908.59764,15.919,0.007
7908.85174,15.494,0.005
7909.72636,15.342,0.005
7909.94417,16.015,0.007
7910.77058,15.917,0.006
7911.63642,15.919,0.007
7917.66757,15.811,0.006
7917.90464,16.146,0.010
7922.61273,16.095,0.007
7923.62775,15.365,0.005
7923.89159,16.062,0.008
7924.72214,16.047,0.006
7925.61986,16.058,0.007
7925.89287,15.765,0.007
7926.82843,15.918,0.007
7928.61852,16.053,0.007
7932.65876,16.165,0.008
7933.78755,15.957,0.007
7934.71141,16.076,0.006
7935.54433,16.012,0.006
7935.80122,15.489,0.005
7936.70449,15.638,0.005
7937.52550,15.430,0.006
7937.78399,16.070,0.007
7944.47337,15.456,0.006
7944.57801,15.840,0.006
7944.67956,16.045,0.007
7944.80220,16.144,0.008
7945.63637,16.094,0.006
7946.47724,16.087,0.007
7946.74200,15.822,0.007
7947.64667,15.904,0.007
7948.55921,15.997,0.006
7948.83160,15.549,0.006
7949.76782,15.788,0.007
7953.53547,15.720,0.006
7953.81075,16.085,0.007
7954.74366,16.097,0.006
7956.56278,16.013,0.006
7957.56045,15.743,0.006
7958.66039,16.093,0.007
7959.55913,16.148,0.007
7959.79695,15.918,0.007
7960.71545,16.016,0.006
7961.69456,16.100,0.006
7963.54577,15.355,0.005
7964.74974,16.129,0.007
7966.55583,15.613,0.006
7967.61596,15.923,0.007
7971.48959,15.849,0.007
7972.51842,16.058,0.009
7972.62283,15.837,0.007
7972.72840,15.681,0.007
7974.49412,15.775,0.006
7974.74501,16.167,0.008
