HJD,MAG,ERR
5677.90771,15.804,0.005
5679.81980,16.069,0.007
5680.71123,16.084,0.007
5680.89692,15.683,0.005
5681.79197,15.756,0.006
5682.69040,15.838,0.006
5682.91136,16.162,0.007
5683.86354,15.364,0.005
5684.76753,15.550,0.005
5685.74605,15.883,0.006
5685.94073,16.099,0.013
5686.84873,16.114,0.007
5687.73043,15.822,0.006
5688.91535,16.060,0.007
5690.64349,16.078,0.007
5690.84117,15.548,0.006
5691.77734,15.782,0.006
5692.66623,15.832,0.006
5692.84760,16.086,0.006
5693.68525,16.067,0.007
5693.86930,15.488,0.005
5694.68666,15.409,0.005
5694.87726,15.931,0.006
5695.74140,15.926,0.007
5695.91692,16.124,0.007
5696.74402,16.085,0.007
5696.92741,15.592,0.005
5697.75051,15.386,0.005
5697.91407,15.934,0.007
5698.75009,15.869,0.007
5698.91071,16.074,0.007
5705.71277,15.891,0.007
5705.90354,16.156,0.007
5706.85932,15.372,0.006
5707.72445,15.348,0.005
5707.88323,15.911,0.007
5708.71709,15.834,0.006
5708.90162,16.075,0.008
5712.57685,15.709,0.007
5712.79285,16.078,0.006
5713.79584,15.348,0.004
5713.80829,15.391,0.004
5714.87461,16.009,0.007
5715.74681,16.013,0.006
5716.58192,15.963,0.007
5716.81534,15.407,0.005
5721.67423,15.648,0.005
5721.68681,15.697,0.005
5721.69998,15.745,0.005
5721.89773,16.065,0.007
5722.73003,16.050,0.006
5722.74351,16.055,0.006
5723.62259,16.055,0.007
5723.79066,15.408,0.005
5724.65063,15.374,0.005
5725.54372,15.497,0.006
5725.76627,16.052,0.006
5726.67465,16.076,0.007
5734.61459,15.317,0.005
5734.83297,16.005,0.007
5735.77580,16.064,0.007
5736.52398,15.909,0.007
5736.69142,16.097,0.006
5737.52488,16.077,0.007
5737.71296,15.595,0.005
5737.88090,16.048,0.007
5738.73998,16.028,0.006
5739.61000,16.028,0.007
5739.79375,15.964,0.007
5740.59015,16.058,0.008
5740.79800,15.756,0.006
5741.56316,15.332,0.005
5741.74533,15.953,0.006
5742.49544,15.634,0.006
5742.68022,16.041,0.006
5742.83387,15.866,0.006
5743.73082,15.323,0.005
5743.88259,15.874,0.007
5744.66228,15.614,0.005
5744.86695,16.060,0.007
5745.64148,15.941,0.007
5745.81618,16.016,0.007
5746.67957,16.116,0.007
5746.85892,15.714,0.007
5747.75109,15.777,0.007
5749.52857,15.890,0.007
5749.69490,16.100,0.007
5752.57298,15.909,0.007
5760.46841,16.056,0.008
5760.66167,15.359,0.005
5760.82745,15.934,0.007
5762.52766,15.827,0.006
5763.56381,16.075,0.006
5763.74984,15.594,0.005
5764.56620,15.356,0.005
5764.75076,15.979,0.006
5765.63549,16.003,0.006
5766.49746,15.992,0.007
5766.68153,16.164,0.007
5767.56155,15.991,0.007
5767.76935,15.919,0.007
5768.61876,15.888,0.006
5768.79458,16.090,0.007
5769.66439,16.088,0.006
5770.74151,15.767,0.006
5776.59085,16.090,0.007
5777.50985,16.209,0.007
5777.76094,15.954,0.006
5779.58590,16.061,0.006
5785.61331,16.040,0.007
5786.55722,16.066,0.007
5786.74556,15.598,0.007
5787.59297,15.502,0.005
5788.49488,15.638,0.006
5788.67966,16.066,0.007
5790.57604,15.437,0.005
5790.73680,15.863,0.007
5793.58523,16.146,0.007
5793.74228,15.800,0.007
5794.65994,15.896,0.006
5795.71334,16.100,0.007
5796.46994,16.062,0.007
5796.57652,16.116,0.007
5796.63872,15.803,0.006
5796.68554,15.415,0.005
5801.56070,15.795,0.006
5802.54970,16.061,0.007
5804.54489,15.646,0.006
5805.49383,15.874,0.006
5805.68420,16.124,0.008
5807.62484,15.771,0.007
5812.60705,16.084,0.008
5813.59096,15.332,0.004
5815.55913,16.028,0.006
5816.53932,16.133,0.007
5817.54056,15.548,0.005
5818.52201,15.890,0.007
5819.52160,16.058,0.007
5820.49934,15.923,0.007
5820.65828,15.798,0.007
5822.58793,16.094,0.007
5823.51966,16.154,0.008
5823.60658,15.520,0.006
5824.54354,15.768,0.006
5824.62405,15.968,0.007
5825.56156,16.041,0.007
5826.48447,16.076,0.007
5826.57182,15.969,0.007
5827.51080,15.510,0.007
5827.59129,15.789,0.007
5828.52404,15.940,0.006
5828.59957,16.073,0.007
5829.53497,16.099,0.007
5829.61095,15.939,0.006
5830.54808,15.509,0.005
5831.52012,15.836,0.006
5831.59506,16.021,0.007
5832.54118,16.078,0.007
5833.48757,16.196,0.008
5833.57881,15.480,0.005
5834.53830,15.806,0.006
5835.51929,16.010,0.008
5836.52186,16.183,0.007
5836.58542,15.333,0.005
5839.54277,16.169,0.009
5840.50281,15.393,0.006
5840.58862,15.739,0.006
5841.51517,15.888,0.007
5841.59779,16.027,0.008
5842.56132,16.077,0.008
5843.51873,15.333,0.005
5843.60004,15.661,0.007
5844.54251,15.856,0.007
5845.50339,16.062,0.007
5845.58358,16.103,0.008
5846.54529,15.554,0.007
5850.56928,15.745,0.006
5851.53243,15.974,0.007
5851.57921,16.066,0.007
5852.56215,16.120,0.008
5854.55326,15.921,0.007
5856.54849,15.356,0.005
5858.51455,16.029,0.008
5860.49746,15.544,0.006
5861.52968,15.999,0.007
5862.53095,16.100,0.007
5969.87566,15.712,0.006
5972.88004,15.578,0.005
5977.85686,16.072,0.007
5978.85556,16.162,0.007
5979.84526,15.667,0.006
5980.86548,16.030,0.007
5982.86970,15.615,0.005
5983.88186,15.996,0.006
5984.86599,16.089,0.006
5985.85001,15.342,0.005
5986.83127,15.799,0.006
5987.82417,16.063,0.007
5987.89600,16.087,0.006
5988.88349,15.334,0.004
5989.85853,15.765,0.007
5990.82302,16.003,0.006
5991.81690,16.091,0.007
5991.89111,15.826,0.006
5992.85660,15.633,0.005
