HJD,OC
568.8715,0.3135316041569187
595.84997,0.30942577853100445
627.757685,0.3102219894689731
657.271,0.31447213438737953
952.91817,0.2727738220102654
1315.85903,0.2748518270523595
1347.76989,0.2692911693352158
1368.6956,0.26808074508493274
1402.11749,0.2703627054515752
1671.77404,0.2674009854893059
1735.7281600000001,0.26193341838180156
1759.52094,0.2697958175915704
2462.147535,0.2292370717668069
2488.75245,0.2280638479451702
2850.57871,0.22161913402409633
2875.50434,0.22588802332409497
2905.62954,0.22979233734147844
2933.020255,0.22759499158384877
3085.840515,0.24237621437733822
3113.83166,0.24494772019939887
3146.85266,0.24470471419434134
3172.77914,0.2435379702181106
3204.77858,0.2380000558795024
3238.64838,0.2376623562121279
3267.56083,0.22636380441320442
3293.54804,0.230003848975435
3453.79001,0.21298995826732112
3474.85739,0.21153410688884536
3504.7373399999997,0.21346939022978756
3538.2442149999997,0.20978295196104363
3561.53585,0.2062352950042909
3589.71936,0.20321964945342963
3628.58266,0.19850845549309387
3655.522565,0.2006563801348311
3807.336065,0.1742200716086888
3837.760555,0.1687376793120799
3865.80227,0.16039956441334363
3900.82229,0.153667930337112
3930.58853,0.14656083112883092
3961.52075,0.13981922126215518
3987.065425,0.13394860000209183
4014.5417399999997,0.13547457860254233
4165.839805,0.148160089766629
4196.79741,0.15448616247601427
4233.72327,0.1564073611997404
4247.70424,0.15891715018822372
4289.54064,0.15833925208854235
4316.069705,0.15510171966682892
4345.531035,0.15277469204289018
4373.53208,0.150487315602973
4397.5548,0.14062326521734558
4530.901315,0.12037083718269369
4556.77851,0.11679077580918579
4590.723065,0.1134140770373165
4623.31913,0.11321935123901576
4646.204505,0.11688347546190474
4677.7471,0.11697597115490824
4702.03285,0.11500677805452883
4729.4897,0.11608655176423341
4884.87456,0.08672917399557042
4921.732615,0.0766799492544972
4944.288885,0.06681754676496245
5276.90674,0.040185035829907914
5309.74716,0.03779248633685959
5336.80694,0.03627450856216205
5364.5957,0.0339529888834541
5392.66632,0.03453333762394854
5426.54272,0.032236050522996704
5450.5112,0.03243077648719366
5485.52341,0.029456456602912247
5607.373485,0.027818833820304378
5641.87501,0.026689898125124754
5665.339685,0.02377488306258095
5693.886845,0.01955151342429228
5725.702950000001,0.012327037938258917
5752.72254,0.005648683997870876
5787.698585,-0.0028524627836661472
5817.57689,-0.012559008334077405
5842.55129,-0.01943468463344909
5868.50741,-0.02799981275216877
5971.87705,-0.04174521242794717
5996.87046,-0.04383595772201316
6033.306735,-0.03969868772350866
6060.75332,-0.03747643066006808
6085.734665,-0.038413830318010274
6116.597275,-0.04153405073799583
6147.568885000001,-0.04641009157540586
6175.57779,-0.052523858584179614
6204.56082,-0.057433982169237924
6232.51049,-0.06693073086244654
6355.85691,-0.07261407163232601
6394.74044,-0.07500740746018587
6417.844085000001,-0.07938377958189162
6447.753624999999,-0.08446506790122797
6475.79165,-0.08835124045091824
6505.75259,-0.09151259385573
6534.51966,-0.09467018551023555
6560.62276,-0.09461784974126755
6585.046715,-0.09109189539805981
6695.382925,-0.07240213081315201
6719.90535,-0.06896208213666123
6752.8756,-0.057454548130983045
6773.74256,-0.050302304124081265
6808.714405000001,-0.0426796579010433
6835.8241,-0.03617843077265552
6859.70337,-0.032005375750390364
6889.51276,-0.02727564775279601
6924.48016,-0.025274462658332893
6949.524579999999,-0.02070493791487538
7079.83202,-0.012382902258810084
7115.73474,-0.007282160071483759
7138.807975,-0.005198709041688789
7163.92297,-0.0020224187341681744
7191.8272,0.0010028094611671348
7223.66754,0.003028798368010206
7261.59261,0.0034634666887286463
7277.62018,0.004707673828146914
7315.52242,-0.0014177633750026466
7441.86297,-0.014038881000073906
7465.88111,-0.021457165786821133
7493.90769,-0.02760597230285319
7526.85714,-0.03353899961948382
7555.59635,-0.037850540798635396
7589.475945,-0.041363199687640684
7611.52285,-0.04504555569583734
7638.59606,-0.048008335317905985
7671.51381,-0.04395755931542112
7800.871135,-0.05294428552507001
7826.86025,-0.05456622997429616
7855.80951,-0.055800027669234344
7879.78562,-0.05949314502959719
7909.9038,-0.05834402708739418
7946.665685,-0.06105079765215983
