HJD,MAG,ERR,SRV,HJD_New
551.82247,-0.0940000000000012,0.008,OGLE-III,550.6426428899875
553.74166,0.11500000000000199,0.009,OGLE-III,552.5617251079443
557.74262,-0.04499999999999815,0.009,OGLE-III,556.5624903474577
558.78861,-0.012999999999998124,0.009,OGLE-III,557.6084350635805
560.73864,0.036000000000001364,0.009,OGLE-III,559.5583857214674
561.75463,-0.0259999999999998,0.009,OGLE-III,560.5743366622548
562.77181,-0.10899999999999821,0.008,OGLE-III,561.5914788887897
567.88561,0.10900000000000176,0.009,OGLE-III,566.7051028446753
568.86124,0.08399999999999963,0.009,OGLE-III,567.6807006925131
569.85152,-0.03500000000000014,0.008,OGLE-III,568.6709481383957
571.84207,-0.02400000000000091,0.009,OGLE-III,570.66143228535
572.91224,-0.05099999999999838,0.009,OGLE-III,571.7315662765959
573.89078,0.10200000000000031,0.009,OGLE-III,572.7100727523826
574.87358,0.12600000000000122,0.009,OGLE-III,573.6928383416795
575.90483,0.07900000000000063,0.009,OGLE-III,574.7240512611808
576.8853,-0.06299999999999883,0.009,OGLE-III,575.7044849153972
576.89317,-0.045999999999999375,0.009,OGLE-III,575.7123546189117
578.79222,0.15700000000000003,0.009,OGLE-III,577.6113305711798
581.77574,-0.10999999999999943,0.008,OGLE-III,580.5947221495776
582.80897,-0.12300000000000111,0.008,OGLE-III,581.6279035384578
583.82937,-0.06799999999999784,0.009,OGLE-III,582.6482531440394
587.90546,0.10699999999999932,0.01,OGLE-III,586.7241145808954
588.86119,-0.045999999999999375,0.009,OGLE-III,587.6797838573955
590.84283,-0.03500000000000014,0.009,OGLE-III,589.661288166642
599.88638,0.12900000000000134,0.009,OGLE-III,598.7040175851753
600.83511,-0.0470000000000006,0.008,OGLE-III,599.6526392958292
601.67156,0.1440000000000019,0.009,OGLE-III,600.4889905271783
605.86129,0.12399999999999878,0.011,OGLE-III,604.6781967799524
606.76753,-0.11100000000000065,0.008,OGLE-III,605.5843209283246
607.76404,-0.045999999999999375,0.008,OGLE-III,606.5807040857321
608.75594,0.09299999999999997,0.009,OGLE-III,607.5724791926805
614.82716,-0.07900000000000063,0.009,OGLE-III,613.6430123058951
615.78545,0.12099999999999866,0.009,OGLE-III,614.6012135639542
616.75984,0.10800000000000054,0.01,OGLE-III,615.575520922307
623.70567,-0.08599999999999852,0.008,OGLE-III,622.5210513148862
624.71721,-0.11100000000000065,0.008,OGLE-III,623.5326000100792
625.65259,0.11100000000000065,0.009,OGLE-III,624.4680021355256
626.80282,-0.09299999999999997,0.008,OGLE-III,625.6182789273419
628.69049,0.02500000000000213,0.008,OGLE-III,627.5060740207156
629.68129,-0.08599999999999852,0.008,OGLE-III,628.4969627463097
630.75375,-0.07000000000000028,0.009,OGLE-III,629.5695357188349
632.80928,-0.1280000000000001,0.008,OGLE-III,631.6253285390635
633.68617,0.1269999999999989,0.009,OGLE-III,632.5023480380308
635.76725,0.08500000000000085,0.009,OGLE-III,634.5837735804344
643.74631,-0.10299999999999798,0.009,OGLE-III,642.5645600280119
645.60624,0.0519999999999996,0.009,OGLE-III,644.4249600117257
652.66673,0.08699999999999974,0.009,OGLE-III,651.4873494372122
653.5654,-0.0990000000000002,0.008,OGLE-III,652.3862665645859
655.62232,-0.013999999999999346,0.008,OGLE-III,654.4437500599012
656.79788,-0.08200000000000074,0.008,OGLE-III,655.6196290389922
657.72205,0.007999999999999119,0.009,OGLE-III,656.5440473624218
657.79212,-0.08399999999999963,0.01,OGLE-III,656.6141360903733
663.72113,-0.021999999999998465,0.009,OGLE-III,662.5446797021996
665.48929,-0.05000000000000071,0.008,OGLE-III,664.3132776502183
666.58385,-0.09700000000000131,0.008,OGLE-III,665.4081043226427
667.70287,-0.08599999999999852,0.009,OGLE-III,666.5273934609658
671.52066,-0.1059999999999981,0.009,OGLE-III,670.346075246311
684.60628,-0.09499999999999886,0.008,OGLE-III,683.4344464858211
686.62401,-0.05099999999999838,0.009,OGLE-III,685.4525593480287
688.61054,0.10600000000000165,0.009,OGLE-III,687.4394556607683
697.60343,-0.12199999999999989,0.008,OGLE-III,696.433873579893
699.63708,-0.009000000000000341,0.009,OGLE-III,698.4678398581385
706.58088,0.13100000000000023,0.011,OGLE-III,705.4126398569961
712.53923,0.09499999999999886,0.009,OGLE-III,711.3717507979752
715.49455,-0.04299999999999926,0.009,OGLE-III,714.3274154502724
727.54704,-0.10500000000000043,0.009,OGLE-III,726.3810906741495
745.54539,-0.062000000000001165,0.009,OGLE-III,744.3805737365309
755.51987,0.1269999999999989,0.01,OGLE-III,754.3553668978218
858.873,-0.11499999999999844,0.008,OGLE-III,857.7004247527047
887.89138,0.10600000000000165,0.009,OGLE-III,886.7135011164269
895.89579,-0.0519999999999996,0.008,OGLE-III,894.7162651402307
897.84587,0.05999999999999872,0.009,OGLE-III,896.6659330819783
924.80691,0.010999999999999233,0.009,OGLE-III,923.6208676570883
928.7783,0.1490000000000009,0.009,OGLE-III,927.5912989276991
931.77685,-0.10899999999999821,0.009,OGLE-III,930.5891158203475
933.87334,-0.13400000000000034,0.008,OGLE-III,932.6850886570585
936.79933,0.05000000000000071,0.009,OGLE-III,935.6103506915538
937.82024,-0.015000000000000568,0.009,OGLE-III,936.6310050317405
939.78106,-0.02400000000000091,0.009,OGLE-III,938.5913316236026
941.77753,0.11100000000000065,0.009,OGLE-III,940.587296086823
944.76618,-0.0779999999999994,0.009,OGLE-III,943.5751834873755
950.73298,-0.05999999999999872,0.009,OGLE-III,949.5404407886448
951.80257,-0.1059999999999981,0.008,OGLE-III,950.609751500202
952.81428,-0.04499999999999815,0.009,OGLE-III,951.6211965769776
953.7275,0.09100000000000108,0.009,OGLE-III,952.5341768258636
964.71106,0.17999999999999972,0.009,OGLE-III,963.5148093992298
965.89583,-0.08899999999999864,0.009,OGLE-III,964.6992590170896
966.90141,-0.019999999999999574,0.009,OGLE-III,965.7045664228135
971.88105,-0.10299999999999798,0.009,OGLE-III,970.682847755715
985.64939,-0.1490000000000009,0.006,OGLE-III,984.4473614023922
987.81489,-0.05999999999999872,0.008,OGLE-III,986.6122511569204
988.68021,0.125,0.009,OGLE-III,987.4773267201222
990.70488,0.08000000000000185,0.009,OGLE-III,989.5014235162573
991.59693,-0.10500000000000043,0.01,OGLE-III,990.3932204145855
997.72494,0.045999999999999375,0.009,OGLE-III,996.5194830386796
