HJD,MAG,ERR,SRV,HJD_New
572.91635,0.05900000000000105,0.011,OGLE-III,572.7759752424705
574.87781,0.03900000000000148,0.01,OGLE-III,574.7381557229421
575.90907,-0.009000000000000341,0.011,OGLE-III,575.7697949340826
599.8906,-0.0990000000000002,0.009,OGLE-III,599.7602138997248
606.77177,0.129999999999999,0.009,OGLE-III,606.6439556062468
615.78971,0.08699999999999974,0.01,OGLE-III,615.6652769178854
616.76409,-0.05699999999999861,0.009,OGLE-III,616.6400229211123
631.79627,-0.04400000000000048,0.01,OGLE-III,631.6778621975138
632.81353,-0.08800000000000097,0.011,OGLE-III,632.6955058828779
633.69041,0.11599999999999966,0.009,OGLE-III,633.5727166766438
635.77154,0.1269999999999989,0.011,OGLE-III,635.6546319557498
643.75055,0.09600000000000009,0.01,OGLE-III,643.6366547402339
645.61049,0.0030000000000001137,0.009,OGLE-III,645.4972973740705
652.67097,-0.09999999999999964,0.009,OGLE-III,652.5604451990185
653.56968,0.12300000000000111,0.008,OGLE-III,653.4594948044738
655.62659,0.09299999999999997,0.01,OGLE-III,655.5171820584364
656.80212,-0.0070000000000014495,0.01,OGLE-III,656.6931562441022
657.7263,0.10200000000000031,0.01,OGLE-III,657.6176854413097
657.79639,0.13200000000000145,0.011,OGLE-III,657.6878019239314
663.72539,0.13700000000000045,0.011,OGLE-III,663.6190416931802
665.49354,0.09499999999999886,0.009,OGLE-III,665.3878594145771
666.58811,-0.027999999999998693,0.009,OGLE-III,666.4828426990842
671.52493,-0.08800000000000097,0.01,OGLE-III,671.4215259587152
684.61054,0.053000000000000824,0.012,OGLE-III,684.5120660840583
686.62827,-0.10500000000000043,0.008,OGLE-III,686.5305548172007
688.6148,-0.054000000000002046,0.009,OGLE-III,688.5178313584714
699.64136,0.06299999999999883,0.01,OGLE-III,699.548525643014
706.58514,-0.0019999999999988916,0.013,OGLE-III,706.4948994477334
712.54352,0.030999999999998806,0.012,OGLE-III,712.4554981505897
715.4988,0.0070000000000014495,0.01,OGLE-III,715.4118759589888
727.5513,-0.007999999999999119,0.011,OGLE-III,727.4688328664731
745.54966,0.009000000000000341,0.012,OGLE-III,745.4737777375234
755.52415,0.021999999999998465,0.011,OGLE-III,755.4518741589728
875.83917,0.11400000000000077,0.009,OGLE-III,875.8066699983997
890.87078,0.11299999999999955,0.01,OGLE-III,890.8425981087873
896.77946,0.134999999999998,0.009,OGLE-III,896.7529259610836
898.89365,0.120000000000001,0.01,OGLE-III,898.8676985692169
970.73428,-0.06700000000000017,0.01,OGLE-III,970.7256888070222
971.83455,0.06099999999999994,0.01,OGLE-III,971.8261844581679
978.64936,-0.06899999999999906,0.009,OGLE-III,978.6423626088933
985.66505,-0.12700000000000067,0.008,OGLE-III,985.6594072383618
987.78894,-0.12300000000000111,0.008,OGLE-III,987.7836963824296
988.69698,0.134999999999998,0.01,OGLE-III,988.6919054624476
991.62586,-0.13900000000000112,0.009,OGLE-III,991.6213243888574
995.60151,0.062000000000001165,0.011,OGLE-III,995.5976900716583
995.65526,0.11199999999999832,0.012,OGLE-III,995.651449621607
998.77509,0.11400000000000077,0.012,OGLE-III,998.7718281350075
1006.62394,-0.11100000000000065,0.009,OGLE-III,1006.6220071320859
1011.72082,0.13700000000000045,0.011,OGLE-III,1011.7197105044811
1025.58169,-0.0519999999999996,0.008,OGLE-III,1025.582657748285
1035.72332,-0.03500000000000014,0.011,OGLE-III,1035.7256536111904
1041.51681,-0.04200000000000159,0.009,OGLE-III,1041.5198639052078
1046.67746,0.13400000000000034,0.015,OGLE-III,1046.6811181233497
1053.68813,0.1039999999999992,0.011,OGLE-III,1053.6925516284882
1063.59195,-0.11299999999999955,0.01,OGLE-III,1063.5973355932535
1068.60152,0.030000000000001137,0.01,OGLE-III,1068.6073411392927
1072.56061,0.12600000000000122,0.011,OGLE-III,1072.5667502360068
1076.62927,0.015000000000000568,0.01,OGLE-III,1076.6357148175346
1079.55616,0.12199999999999989,0.012,OGLE-III,1079.562809163114
1087.49952,0.07499999999999929,0.011,OGLE-III,1087.5066607542772
1090.52828,-0.10599999999999987,0.011,OGLE-III,1090.5355836914132
1094.51298,0.14099999999999824,0.011,OGLE-III,1094.5204772110847
1107.50686,0.12099999999999866,0.012,OGLE-III,1107.5148212163401
1114.53711,-0.045000000000001705,0.012,OGLE-III,1114.5452137511631
1230.85088,0.10899999999999821,0.012,OGLE-III,1230.8491734857519
