HJD,MAG,ERR,SRV,HJD_New
531.88832,-0.0010000000000012221,0.012,OGLE-III,532.5579408502965
542.89596,-0.0730000000000004,0.009,OGLE-III,543.5518018753169
550.91922,0.045999999999999375,0.007,OGLE-III,551.5690569895437
552.86208,-0.0810000000000013,0.006,OGLE-III,553.5108678878029
553.81466,-0.015000000000000568,0.006,OGLE-III,554.4629832637315
554.88738,-0.030000000000001137,0.006,OGLE-III,555.5352169538417
557.84244,-0.05900000000000105,0.006,OGLE-III,558.4891238896488
558.91302,0.10099999999999909,0.007,OGLE-III,559.559347918009
560.84037,-0.0990000000000002,0.006,OGLE-III,561.486130808159
562.82905,-0.03200000000000003,0.007,OGLE-III,563.4743147990698
567.91688,-0.09800000000000075,0.006,OGLE-III,568.5612024563954
568.85041,-0.02200000000000024,0.006,OGLE-III,569.4945986750769
569.81739,0.1280000000000001,0.007,OGLE-III,570.461449503638
570.82985,-0.11599999999999966,0.006,OGLE-III,571.4737829718933
571.75615,-0.03300000000000125,0.006,OGLE-III,572.399973641208
572.84059,-0.004000000000001336,0.007,OGLE-III,573.4842917179307
573.87946,0.007999999999999119,0.006,OGLE-III,574.5230492870295
574.83956,0.13299999999999912,0.007,OGLE-III,575.4830476214848
575.81785,-0.08399999999999963,0.006,OGLE-III,576.461234754591
576.79851,-0.004000000000001336,0.006,OGLE-III,577.4417908938128
578.75665,-0.11300000000000132,0.006,OGLE-III,579.3997153334377
581.74299,-0.09999999999999964,0.006,OGLE-III,582.3856825321463
582.75612,0.12299999999999933,0.007,OGLE-III,583.3986676023352
583.74973,-0.07800000000000118,0.006,OGLE-III,584.3921237576844
587.84951,0.028999999999999915,0.007,OGLE-III,588.4911127354567
588.75445,-0.053000000000000824,0.006,OGLE-III,589.3958370836777
590.78647,0.0039999999999995595,0.008,OGLE-III,591.4273076742705
599.83037,0.08099999999999952,0.007,OGLE-III,600.4673520800081
600.7511,0.09699999999999953,0.006,OGLE-III,601.3875313501806
601.82246,-0.06300000000000061,0.006,OGLE-III,602.4582075081012
605.76617,0.10799999999999876,0.007,OGLE-III,606.3989706952282
606.68348,-0.03599999999999959,0.006,OGLE-III,607.315491438966
607.67986,-0.0470000000000006,0.006,OGLE-III,608.3109669099716
608.67159,0.09299999999999997,0.007,OGLE-III,609.3017486662477
614.74349,-0.09100000000000108,0.006,OGLE-III,615.3669925296134
615.70134,0.07599999999999874,0.006,OGLE-III,616.3236893809037
616.6754,0.045999999999999375,0.006,OGLE-III,617.2965563674949
623.83097,-0.04100000000000037,0.006,OGLE-III,624.4430306740949
624.63113,0.014999999999998792,0.006,OGLE-III,625.2421692492912
625.74032,0.0779999999999994,0.007,OGLE-III,626.3499527052079
626.62367,0.11800000000000033,0.007,OGLE-III,627.2321930937276
627.83782,0.0860000000000003,0.008,OGLE-III,628.4448378084727
628.65405,0.0649999999999995,0.006,OGLE-III,629.2600714974418
629.62413,0.051000000000000156,0.006,OGLE-III,630.2289866706616
630.71791,0.04100000000000037,0.007,OGLE-III,631.3214819855467
631.69383,0.06099999999999994,0.007,OGLE-III,632.2962830442534
632.75295,-0.04300000000000104,0.006,OGLE-III,633.3542177957564
633.76422,0.09199999999999875,0.006,OGLE-III,634.3643842075779
635.73349,0.04899999999999949,0.007,OGLE-III,636.3315834440175
643.60664,-0.04400000000000048,0.007,OGLE-III,644.1974692506114
645.69344,-0.04400000000000048,0.006,OGLE-III,646.282610497932
652.65364,-0.0259999999999998,0.006,OGLE-III,653.2380620591407
653.64964,-0.031000000000000583,0.006,OGLE-III,654.2334794593963
656.64734,0.08000000000000007,0.007,OGLE-III,657.22956945496
657.68738,-0.02800000000000047,0.008,OGLE-III,658.2691007239958
663.60839,-0.09700000000000131,0.006,OGLE-III,664.1876946432886
665.72004,-0.08000000000000007,0.006,OGLE-III,666.2986771523157
666.73142,0.09699999999999953,0.007,OGLE-III,667.309772976476
667.66813,0.0039999999999995595,0.006,OGLE-III,668.2462401374286
671.60899,-0.031000000000000583,0.006,OGLE-III,672.1862903843007
684.5715,-0.014000000000001123,0.006,OGLE-III,685.148465247172
687.55104,0.05799999999999983,0.007,OGLE-III,688.1284119157964
689.56227,-0.051000000000000156,0.006,OGLE-III,690.1400146208765
698.56748,0.03399999999999892,0.007,OGLE-III,699.1478329774039
701.53676,-0.012000000000000455,0.008,OGLE-III,702.1182986951163
706.56843,-0.07399999999999984,0.007,OGLE-III,707.1523314622684
712.50265,-0.08399999999999963,0.006,OGLE-III,713.0898892050787
715.57844,0.1039999999999992,0.008,OGLE-III,716.1676352505408
727.50954,-0.12199999999999989,0.006,OGLE-III,728.1076996972064
747.51426,-0.125,0.008,OGLE-III,748.1318645629044
858.86202,0.13899999999999935,0.007,OGLE-III,859.6422036885891
880.8783,0.058999999999999275,0.006,OGLE-III,881.6915028644602
887.88044,-0.13000000000000078,0.006,OGLE-III,888.7035691130619
895.88484,-0.004000000000001336,0.006,OGLE-III,896.718876953812
897.83493,-0.09299999999999997,0.006,OGLE-III,898.6715460835475
924.79595,0.14400000000000013,0.007,OGLE-III,925.6644377872367
928.76735,-0.136000000000001,0.006,OGLE-III,929.6398458086987
931.7659,-0.0730000000000004,0.006,OGLE-III,932.6412893687296
