HJD,MAG,ERR,SRV,HJD_New
858.88103,0.1479999999999997,0.009,OGLE-III,859.3754305773889
887.86549,-0.0389999999999997,0.009,OGLE-III,888.2787672966484
895.84389,0.12900000000000134,0.009,OGLE-III,896.236837207993
898.8563,-0.07000000000000028,0.008,OGLE-III,899.241788506669
911.92035,-0.0909999999999993,0.008,OGLE-III,912.2748431514714
918.81111,0.06299999999999883,0.009,OGLE-III,919.1501216916321
925.86637,-0.017999999999998906,0.008,OGLE-III,926.1901367753759
936.71597,-0.01699999999999946,0.008,OGLE-III,937.017463489579
962.68038,-0.07399999999999984,0.008,OGLE-III,962.9341007081388
985.73654,-0.06899999999999906,0.008,OGLE-III,985.9540080819518
991.74434,-0.036999999999999034,0.008,OGLE-III,991.9532622605277
997.65355,0.12600000000000122,0.009,OGLE-III,997.8544164459581
1006.60009,0.1269999999999989,0.012,OGLE-III,1006.7894049391813
1021.61242,-0.09299999999999997,0.009,OGLE-III,1021.7840382933462
1041.5713,-0.045999999999999375,0.008,OGLE-III,1041.7224966530707
1068.61849,0.09199999999999875,0.009,OGLE-III,1068.7472394156582
1072.62839,0.10200000000000031,0.01,OGLE-III,1072.7542887969907
1076.64598,-0.1039999999999992,0.009,OGLE-III,1076.7691401442023
1079.61975,0.09199999999999875,0.011,OGLE-III,1079.7409574814492
1087.62688,-0.09399999999999942,0.01,OGLE-III,1087.7431374398172
1089.60918,0.15399999999999991,0.012,OGLE-III,1089.7242798633072
1092.55157,-0.0519999999999996,0.009,OGLE-III,1092.665000291965
1102.57865,-0.08900000000000041,0.009,OGLE-III,1102.686816774939
1107.58174,-0.03999999999999915,0.008,OGLE-III,1107.6875194793668
1226.87073,-0.017999999999998906,0.01,OGLE-III,1226.9558329472206
1230.88146,0.13500000000000156,0.01,OGLE-III,1230.9667301394215
1239.88908,-0.08000000000000007,0.01,OGLE-III,1239.974845400921
1242.8848,0.06899999999999906,0.01,OGLE-III,1242.9707636948185
1245.89855,-0.07000000000000028,0.01,OGLE-III,1245.9847286108113
1253.81105,-0.0779999999999994,0.009,OGLE-III,1253.8978599422355
1256.90489,-0.058999999999999275,0.009,OGLE-III,1256.9919706096057
1258.90244,0.11400000000000077,0.012,OGLE-III,1258.9897017569763
1261.86361,-0.05799999999999983,0.009,OGLE-III,1261.9511488698995
1265.90448,-0.03200000000000003,0.009,OGLE-III,1265.9924121658973
1268.77922,0.04100000000000037,0.01,OGLE-III,1268.8674415302564
1278.90058,-0.04100000000000037,0.009,OGLE-III,1278.9898713848684
1280.89139,0.10999999999999943,0.01,OGLE-III,1280.9808992059843
1288.9106,-0.11999999999999922,0.008,OGLE-III,1289.0010023816712
1289.76733,0.10900000000000176,0.01,OGLE-III,1289.8578288462436
1290.91385,0.10900000000000176,0.01,OGLE-III,1291.0044781292172
1294.89059,-0.05400000000000027,0.01,OGLE-III,1294.981667563658
1295.88998,0.10500000000000043,0.01,OGLE-III,1295.9811705913726
1297.79067,-0.11399999999999899,0.009,OGLE-III,1297.8820754357678
1299.71233,0.10999999999999943,0.01,OGLE-III,1299.8039523006848
1305.92725,-0.09499999999999886,0.009,OGLE-III,1306.0195684923897
1306.90655,0.06800000000000139,0.009,OGLE-III,1306.9989771205803
1307.92873,0.14499999999999957,0.01,OGLE-III,1308.0212701019916
1312.75799,-0.03500000000000014,0.008,OGLE-III,1312.8510572560338
1313.92866,0.1280000000000001,0.01,OGLE-III,1314.0218531287596
1315.768,0.10300000000000153,0.009,OGLE-III,1315.861389151199
1317.69686,-0.09399999999999942,0.008,OGLE-III,1317.7904522244648
1317.92684,-0.006000000000000227,0.01,OGLE-III,1318.0204562562078
1318.92991,0.15000000000000213,0.01,OGLE-III,1319.023630600672
1320.751,0.045999999999999375,0.009,OGLE-III,1320.8449080622675
1321.93249,-0.08999999999999986,0.011,OGLE-III,1322.0265183242266
1328.62902,-0.09600000000000009,0.014,OGLE-III,1328.7237099209683
1332.74926,0.14700000000000202,0.019,OGLE-III,1332.8443402614616
1335.79579,-0.0779999999999994,0.008,OGLE-III,1335.8911507983914
1338.80181,0.14499999999999957,0.01,OGLE-III,1338.8974409373327
1339.87246,0.15800000000000125,0.011,OGLE-III,1339.96818556423
1340.7834,-0.0649999999999995,0.01,OGLE-III,1340.8792054220417
1342.76953,0.009000000000000341,0.008,OGLE-III,1342.8655074620162
1346.72571,-0.08499999999999908,0.008,OGLE-III,1346.8220217318726
1354.61744,-0.08199999999999896,0.009,OGLE-III,1354.714385526522
1365.58607,-0.11299999999999955,0.009,OGLE-III,1365.6838251480576
1370.62126,-0.02999999999999936,0.009,OGLE-III,1370.7193597490314
1375.69087,0.12900000000000134,0.01,OGLE-III,1375.7892999007786
1394.72295,-0.08300000000000018,0.009,OGLE-III,1394.8224737768958
1398.6869,0.028999999999999915,0.009,OGLE-III,1398.786623620077
1401.69256,-0.004999999999999005,0.009,OGLE-III,1401.7924289195987
1416.63174,-0.04100000000000037,0.009,OGLE-III,1416.7322535238586
1432.54796,0.0710000000000015,0.012,OGLE-III,1432.6490242691573
1436.51368,-0.06199999999999939,0.009,OGLE-III,1436.6148606657343
1441.56428,-0.08699999999999974,0.011,OGLE-III,1441.6655972921512
1443.56438,0.019999999999999574,0.009,OGLE-III,1443.6657478589725
1448.5013,0.11299999999999955,0.01,OGLE-III,1448.6027842313854
1451.50858,-0.06599999999999895,0.011,OGLE-III,1451.6101293158627
1459.56342,-0.05799999999999983,0.01,OGLE-III,1459.665122522894
1462.55324,-0.006999999999999673,0.012,OGLE-III,1462.6549917349232
1477.54205,0.13899999999999935,0.013,OGLE-III,1477.6439885506045
1619.87831,0.1280000000000001,0.01,OGLE-III,1619.978364716876
1626.88289,-0.010999999999999233,0.009,OGLE-III,1626.9827443213883
1634.87623,0.006999999999999673,0.009,OGLE-III,1634.9758502295927
1644.76793,0.12399999999999878,0.01,OGLE-III,1644.8672541795672
1652.88885,0.1280000000000001,0.01,OGLE-III,1652.9879272644266
1660.91047,-0.08900000000000041,0.009,OGLE-III,1661.0093011879662
1669.80637,-0.05999999999999872,0.01,OGLE-III,1669.9049271423094
1681.75428,-0.0730000000000004,0.01,OGLE-III,1681.8524698175154
1687.76343,-0.0030000000000001137,0.011,OGLE-III,1687.861436459038
1692.8641,-0.06899999999999906,0.008,OGLE-III,1692.96195202931
1693.67756,0.11100000000000065,0.009,OGLE-III,1693.7753875243498
1695.76319,0.03999999999999915,0.008,OGLE-III,1695.8609548692677
1699.64965,-0.011999999999998678,0.008,OGLE-III,1699.7472988375553
1705.79535,0.1440000000000019,0.01,OGLE-III,1705.8928175497015
1709.78977,-0.07899999999999885,0.009,OGLE-III,1709.8871213713767
1716.73354,0.08200000000000074,0.01,OGLE-III,1716.8306929824416
1717.81974,0.11400000000000077,0.009,OGLE-III,1717.9168623975718
1726.86858,-0.10799999999999876,0.009,OGLE-III,1726.965452897025
1728.74996,0.006999999999999673,0.009,OGLE-III,1728.8467823002147
1729.85972,0.10600000000000165,0.01,OGLE-III,1729.9565126758919
1730.86877,-0.016000000000000014,0.009,OGLE-III,1730.965535885416
1731.77636,-0.017999999999998906,0.008,OGLE-III,1731.8731019090071
1732.75739,0.13500000000000156,0.01,OGLE-III,1732.8541061225749
1733.59256,-0.08900000000000041,0.008,OGLE-III,1733.6892542781013
1738.74765,0.08800000000000097,0.018,OGLE-III,1738.8442117212458
1742.80699,-0.0649999999999995,0.011,OGLE-III,1742.9034502380036
1743.75809,0.1479999999999997,0.011,OGLE-III,1743.8545268475493
1748.67628,0.09600000000000009,0.011,OGLE-III,1748.7725982953493
1749.56845,-0.08499999999999908,0.008,OGLE-III,1749.6647471772164
1750.7115,-0.06899999999999906,0.009,OGLE-III,1750.8077702517842
1751.62552,0.09799999999999898,0.009,OGLE-III,1751.7217688113424
1752.7584,-0.08300000000000018,0.009,OGLE-III,1752.854622326706
1754.73698,0.125,0.01,OGLE-III,1754.8331562377357
1755.75013,0.04100000000000037,0.01,OGLE-III,1755.8462826833982
1756.65113,-0.08099999999999952,0.008,OGLE-III,1756.7472617431652
1757.50826,-0.0039999999999995595,0.01,OGLE-III,1757.604371816388
1758.69865,0.14499999999999957,0.01,OGLE-III,1758.794734111248
1759.62885,-0.013999999999999346,0.008,OGLE-III,1759.72491242002
1761.67751,-0.11800000000000033,0.008,OGLE-III,1761.7735244449802
1762.6565,-0.017999999999998906,0.008,OGLE-III,1762.7524913869904
1763.62804,0.14199999999999946,0.009,OGLE-III,1763.7240083980646
1764.66294,0.11299999999999955,0.009,OGLE-III,1764.758883775415
1765.68592,0.05600000000000094,0.009,OGLE-III,1765.781839281635
1769.6382,0.11700000000000088,0.01,OGLE-III,1769.7340228637258
1772.65014,-0.09499999999999886,0.009,OGLE-III,1772.7458870775904
1775.66438,0.11899999999999977,0.009,OGLE-III,1775.7600491257588
1776.68967,0.062000000000001165,0.008,OGLE-III,1776.7853121317246
1777.67661,-0.10799999999999876,0.008,OGLE-III,1777.7722259183968
1783.67678,-0.10799999999999876,0.008,OGLE-III,1783.7722317394728
1784.66439,-0.030999999999998806,0.008,OGLE-III,1784.7598139271824
1786.59063,-0.02200000000000024,0.008,OGLE-III,1786.6859990433704
1788.62737,-0.10899999999999999,0.008,OGLE-III,1788.7226800952628
1804.6375,-0.08799999999999919,0.01,OGLE-III,1804.7323142942844
1806.53318,0.10800000000000054,0.01,OGLE-III,1806.6279318207073
1810.57071,-0.025000000000000355,0.008,OGLE-III,1810.6653261337096
1812.59321,0.13599999999999923,0.01,OGLE-III,1812.687756826559
1815.50879,0.08300000000000196,0.01,OGLE-III,1815.60323535135
1818.59627,0.11400000000000077,0.01,OGLE-III,1818.6906058890643
1825.57218,-0.10899999999999999,0.008,OGLE-III,1825.666261032759
2125.62263,0.11200000000000188,0.017,OGLE-III,2125.697615620964
2129.6977,-0.10699999999999932,0.008,OGLE-III,2129.7723405440975
2132.63925,-0.02999999999999936,0.008,OGLE-III,2132.7136404151224
2136.5433,-0.0519999999999996,0.01,OGLE-III,2136.6173571149648
2141.55508,0.06400000000000006,0.008,OGLE-III,2141.6287070587277
2144.64466,-0.1349999999999998,0.008,OGLE-III,2144.7180207387155
2160.61281,-0.15399999999999991,0.009,OGLE-III,2160.684780080663
2169.52663,-0.10899999999999999,0.01,OGLE-III,2169.5978138030896
2211.50713,0.11599999999999966,0.013,OGLE-III,2211.5745234122273
2332.87486,0.08399999999999963,0.011,OGLE-III,2332.9306945395765
2347.83874,0.15200000000000102,0.009,OGLE-III,2347.893109937367
2357.86625,-0.027999999999998693,0.008,OGLE-III,2357.9196358913437
2372.85416,-0.11500000000000021,0.008,OGLE-III,2372.906072096349
2383.82603,-0.09600000000000009,0.008,OGLE-III,2383.8768615870904
2388.79677,-0.10099999999999909,0.009,OGLE-III,2388.8471117685212
2390.82616,0.1440000000000019,0.009,OGLE-III,2390.876301753521
2397.70641,-0.10699999999999932,0.008,OGLE-III,2397.7558735293937
2401.83554,0.13700000000000045,0.01,OGLE-III,2401.884596451385
2403.91251,0.1529999999999987,0.009,OGLE-III,2403.961361686464
2405.89994,-0.09699999999999953,0.008,OGLE-III,2405.948595751358
2414.90496,0.13899999999999935,0.013,OGLE-III,2414.952728078549
2416.85729,-0.11800000000000033,0.009,OGLE-III,2416.9048656670366
2424.82468,0.125,0.01,OGLE-III,2424.871470682299
2428.85327,-0.0030000000000001137,0.009,OGLE-III,2428.899663954741
2434.75162,0.10600000000000165,0.009,OGLE-III,2434.7974333891534
2436.80037,-0.07599999999999874,0.01,OGLE-III,2436.8459818270544
2438.76112,0.11200000000000188,0.009,OGLE-III,2438.80653897246
2441.73886,-0.10500000000000043,0.008,OGLE-III,2441.7839861886778
2445.6447,-0.10899999999999999,0.008,OGLE-III,2445.6894423467133
2448.66638,0.16199999999999903,0.011,OGLE-III,2448.7108255602648
2455.70304,0.1440000000000019,0.008,OGLE-III,2455.7467950473842
2459.62312,0.12399999999999878,0.007,OGLE-III,2459.666490780622
2463.55442,0.15200000000000102,0.01,OGLE-III,2463.597405739551
2466.65358,-0.0009999999999994458,0.009,OGLE-III,2466.6962624447456
2468.6838,-0.10999999999999943,0.008,OGLE-III,2468.726283882835
2470.66625,0.15000000000000213,0.009,OGLE-III,2470.7085400901324
2472.69436,0.028999999999999915,0.008,OGLE-III,2472.736451936329
2481.57086,0.009999999999999787,0.01,OGLE-III,2481.6120859643
2484.6334,-0.07000000000000028,0.009,OGLE-III,2484.6743277099795
2486.72545,-0.041999999999999815,0.01,OGLE-III,2486.7661741324146
2490.69366,-0.11800000000000033,0.008,OGLE-III,2490.7339983620454
2493.6552,0.053000000000000824,0.009,OGLE-III,2493.695250787975
2495.7571,-0.004999999999999005,0.009,OGLE-III,2495.7969468658457
2498.52064,-0.10299999999999976,0.008,OGLE-III,2498.560218984602
2500.56515,-0.019000000000000128,0.008,OGLE-III,2500.6045309755714
2502.57635,0.13700000000000045,0.009,OGLE-III,2502.615536340129
2508.67673,0.14000000000000057,0.011,OGLE-III,2508.7153268970605
2512.62308,0.02500000000000213,0.009,OGLE-III,2512.6612963562297
2517.57694,0.08399999999999963,0.009,OGLE-III,2517.614679560969
2520.59229,-0.04399999999999871,0.008,OGLE-III,2520.629739849086
2528.49757,0.12600000000000122,0.01,OGLE-III,2528.534262223777
2538.50401,0.15200000000000102,0.01,OGLE-III,2538.539747415774
2542.53128,-0.10200000000000031,0.009,OGLE-III,2542.5666345330637
2552.50525,-0.08799999999999919,0.009,OGLE-III,2552.5396599397877
2556.58935,0.16100000000000136,0.011,OGLE-III,2556.6233747190286
2563.50378,-0.09699999999999953,0.008,OGLE-III,2563.537154709744
2575.53194,-0.11599999999999966,0.008,OGLE-III,2575.564190806552
2707.87662,0.05100000000000193,0.008,OGLE-III,2707.8972554097345
2714.912,0.16000000000000014,0.009,OGLE-III,2714.9320655922093
2729.84592,0.129999999999999,0.011,OGLE-III,2729.8647951001603
2733.92607,-0.09499999999999886,0.013,OGLE-III,2733.9446244709943
2744.9239,-0.10999999999999943,0.008,OGLE-III,2744.94160043289
2753.89807,0.06599999999999895,0.01,OGLE-III,2753.915084832916
2757.81008,0.1039999999999992,0.009,OGLE-III,2757.82679921648
2761.82718,0.10900000000000176,0.009,OGLE-III,2761.843597745052
2767.80529,0.16600000000000037,0.012,OGLE-III,2767.8212630704197
2775.73162,-0.08099999999999952,0.012,OGLE-III,2775.7470109139476
2783.83563,0.10900000000000176,0.009,OGLE-III,2783.850434646189
2785.76127,-0.08900000000000041,0.008,OGLE-III,2785.77593668995
2787.6116,0.027000000000001023,0.009,OGLE-III,2787.6261346225892
2789.76832,0.08800000000000097,0.009,OGLE-III,2789.7827013002457
2791.72473,-0.07000000000000028,0.008,OGLE-III,2791.73897279235
2794.93915,-0.09399999999999942,0.01,OGLE-III,2794.9531664148863
2796.83848,0.04200000000000159,0.008,OGLE-III,2796.8523633552045
2797.8997,0.0,0.014,OGLE-III,2797.9135092384518
2809.72762,0.13800000000000168,0.01,OGLE-III,2809.7406143752096
2811.6547,-0.14199999999999946,0.014,OGLE-III,2811.6675635859838
2812.72646,-0.1169999999999991,0.009,OGLE-III,2812.7392510887908
2813.83573,-0.05799999999999983,0.008,OGLE-III,2813.848446237242
2814.75931,-0.013999999999999346,0.009,OGLE-III,2814.7719640580453
