HJD,MAG,ERR,SRV,HJD_New
551.84024,0.11899999999999977,0.007,OGLE-III,551.5237598462705
553.75193,-0.022999999999999687,0.006,OGLE-III,553.4357363654657
557.75289,-0.053000000000000824,0.007,OGLE-III,557.4373449730024
558.79893,-0.05600000000000094,0.007,OGLE-III,558.4835637177022
560.74895,0.1379999999999999,0.007,OGLE-III,560.4339251229322
561.7649,0.11599999999999966,0.007,OGLE-III,561.4500566395033
562.78213,0.11599999999999966,0.007,OGLE-III,562.4674704934532
567.89591,0.0259999999999998,0.007,OGLE-III,567.5821960066781
568.8715,-0.07699999999999996,0.006,OGLE-III,568.5579683958431
569.86254,-0.11700000000000088,0.006,OGLE-III,569.5491936719867
571.85302,-0.025000000000000355,0.007,OGLE-III,571.5400446671406
572.92297,-0.09299999999999997,0.007,OGLE-III,572.61019283292
573.90177,-0.006999999999999673,0.006,OGLE-III,573.5891729598485
574.88458,0.13100000000000023,0.007,OGLE-III,574.5721624329526
575.91581,0.129999999999999,0.008,OGLE-III,575.6035789514804
576.90418,0.1280000000000001,0.007,OGLE-III,576.592125704556
578.80326,-0.10500000000000043,0.006,OGLE-III,578.4915387639695
581.78606,0.09299999999999997,0.008,OGLE-III,581.4748403807505
582.81925,0.0860000000000003,0.007,OGLE-III,582.5081968306006
583.83968,0.10500000000000043,0.008,OGLE-III,583.5287870324432
587.91646,0.11800000000000033,0.01,OGLE-III,587.6061593995707
588.8722,0.022999999999999687,0.007,OGLE-III,588.562025846351
590.85382,-0.10100000000000087,0.007,OGLE-III,590.5438910306681
600.84612,-0.08999999999999986,0.005,OGLE-III,600.5370120935736
601.68258,0.12399999999999878,0.007,OGLE-III,601.3735072568836
605.87227,0.08999999999999986,0.008,OGLE-III,605.5632987665364
606.77853,0.030999999999998806,0.006,OGLE-III,606.4695647894658
607.77506,-0.02800000000000047,0.006,OGLE-III,607.4660950512869
608.76695,-0.11100000000000065,0.006,OGLE-III,608.4579787851736
614.8382,-0.002000000000000668,0.007,OGLE-III,614.5290539515331
615.79646,0.11899999999999977,0.007,OGLE-III,615.4872657660652
616.77087,0.06400000000000006,0.007,OGLE-III,616.4616212486579
623.71671,0.12299999999999933,0.007,OGLE-III,623.4069190560732
624.72828,0.1280000000000001,0.007,OGLE-III,624.4183887499446
625.66771,-0.022999999999999687,0.007,OGLE-III,625.3577209934529
626.81384,0.13400000000000034,0.007,OGLE-III,626.5037258401201
628.70153,-0.11899999999999977,0.006,OGLE-III,628.3911959896462
629.69231,-0.07699999999999996,0.006,OGLE-III,629.3818541277392
630.76476,-0.10299999999999976,0.007,OGLE-III,630.4541676146289
631.8031,-0.09800000000000075,0.006,OGLE-III,631.4923712116766
632.82031,-0.10899999999999999,0.007,OGLE-III,632.50944386554
633.69719,0.11599999999999966,0.007,OGLE-III,633.3862027499433
635.77832,0.11399999999999899,0.008,OGLE-III,635.4670364215283
643.75736,-0.0389999999999997,0.007,OGLE-III,643.4448672117629
645.6173,-0.04100000000000037,0.006,OGLE-III,645.3045192902116
652.67778,0.032999999999999474,0.007,OGLE-III,652.3639372703753
653.57647,0.03200000000000003,0.006,OGLE-III,653.2624990236668
655.63338,0.032999999999999474,0.007,OGLE-III,655.3191243481872
656.80892,0.009999999999999787,0.007,OGLE-III,656.4945079516569
657.73308,0.09699999999999953,0.007,OGLE-III,657.4185486025425
657.80318,0.10099999999999909,0.01,OGLE-III,657.4886396842344
663.73217,-0.0600000000000005,0.007,OGLE-III,663.4169434379133
665.50033,-0.09800000000000075,0.006,OGLE-III,665.1849244574745
666.59491,-0.057000000000000384,0.006,OGLE-III,666.2793994751469
667.71391,0.10299999999999976,0.007,OGLE-III,667.39829671361
671.53173,0.13400000000000034,0.008,OGLE-III,671.2158004362885
684.61735,0.11399999999999899,0.007,OGLE-III,684.3007254038332
686.63506,0.12100000000000044,0.005,OGLE-III,686.3183798300628
688.62159,-0.027000000000001023,0.007,OGLE-III,688.3048681113435
697.61448,0.07000000000000028,0.007,OGLE-III,697.2977261205289
699.64815,0.0,0.007,OGLE-III,699.331423500578
706.59193,0.11299999999999955,0.009,OGLE-III,706.2753893269396
712.55031,-0.019999999999999574,0.007,OGLE-III,712.2340386758323
715.50558,0.06599999999999895,0.007,OGLE-III,715.1894784762351
727.5581,0.07599999999999874,0.008,OGLE-III,727.2429264441485
745.55647,0.023999999999999133,0.009,OGLE-III,745.2433243838028
755.53093,0.032999999999999474,0.009,OGLE-III,755.2192007880217
875.84591,0.11999999999999922,0.007,OGLE-III,875.5596403221102
880.86664,-0.09600000000000009,0.006,OGLE-III,880.5814736238523
890.87753,-0.0389999999999997,0.007,OGLE-III,890.5945026506456
896.78621,0.06199999999999939,0.006,OGLE-III,896.5044002847086
898.90041,0.12199999999999989,0.007,OGLE-III,898.6190268168434
918.91355,0.06199999999999939,0.008,OGLE-III,918.6359223829751
925.79116,0.06700000000000017,0.007,OGLE-III,925.5146866194016
928.8015,0.09699999999999953,0.007,OGLE-III,928.5255067935215
931.82201,-0.019000000000000128,0.007,OGLE-III,931.5464824522934
933.8959,-0.015000000000000568,0.007,OGLE-III,933.6206825182436
936.82167,0.0030000000000001137,0.006,OGLE-III,936.5468761715556
937.84262,0.04100000000000037,0.006,OGLE-III,937.5679701266813
939.80362,0.08799999999999919,0.007,OGLE-III,939.5292408806996
941.75502,-0.11100000000000065,0.006,OGLE-III,941.4809026723955
944.78879,-0.06300000000000061,0.007,OGLE-III,944.5150641777946
950.75722,-0.0030000000000001137,0.006,OGLE-III,950.4842073186724
951.84199,0.07599999999999874,0.007,OGLE-III,951.5690985370426
952.76948,-0.08200000000000074,0.006,OGLE-III,952.4966900803573
952.90635,0.10500000000000043,0.007,OGLE-III,952.6335749001587
952.91817,0.12399999999999878,0.006,OGLE-III,952.6453961779897
954.7889,-0.10400000000000098,0.005,OGLE-III,954.5163244294403
961.87807,0.13700000000000045,0.008,OGLE-III,961.6061750621471
963.75993,-0.11299999999999955,0.006,OGLE-III,963.4881973785721
965.93557,0.06099999999999994,0.008,OGLE-III,965.6640156565409
966.87325,-0.08099999999999952,0.006,OGLE-III,966.6017694244435
970.74108,0.06099999999999994,0.007,OGLE-III,970.4698844685666
971.8413,0.11099999999999888,0.007,OGLE-III,971.5701799655533
984.65972,-0.03700000000000081,0.006,OGLE-III,984.389304461423
985.6718,0.03399999999999892,0.006,OGLE-III,985.4014268212737
988.70376,0.12299999999999933,0.007,OGLE-III,988.4335025720912
989.72854,0.11800000000000033,0.008,OGLE-III,989.4583179624863
990.78373,0.12899999999999956,0.008,OGLE-III,990.5135424579983
990.79148,0.12899999999999956,0.008,OGLE-III,990.5212927040941
991.63371,-0.11000000000000121,0.006,OGLE-III,991.3635488205598
997.70131,0.06799999999999962,0.007,OGLE-III,997.4313008500333
1006.63073,0.10099999999999909,0.007,OGLE-III,1006.360834029482
1011.72759,0.09699999999999953,0.007,OGLE-III,1011.4577028698861
1020.7035,0.13700000000000045,0.007,OGLE-III,1020.4335365026691
1025.58849,0.012000000000000455,0.006,OGLE-III,1025.3184385711959
1035.7301,-0.021000000000000796,0.007,OGLE-III,1035.4597699514331
1036.64409,-0.07600000000000051,0.006,OGLE-III,1036.3737288368825
1040.61405,0.1039999999999992,0.007,OGLE-III,1040.3435428284095
1041.52431,-0.10100000000000087,0.006,OGLE-III,1041.2537669205879
1046.68499,-0.12700000000000067,0.007,OGLE-III,1046.4142269181648
1053.69565,0.10799999999999876,0.008,OGLE-III,1053.4245458487908
1061.5743,0.05400000000000027,0.007,OGLE-III,1061.3027598690471
1063.59951,-0.018000000000000682,0.007,OGLE-III,1063.3278495620218
1068.60903,-0.04300000000000104,0.007,OGLE-III,1068.3370586903525
1072.56814,0.03399999999999892,0.007,OGLE-III,1072.2959105052269
1076.6368,-0.10100000000000087,0.007,OGLE-III,1076.3642946454895
1079.56372,0.13599999999999923,0.008,OGLE-III,1079.2910101042992
1087.50705,0.06099999999999994,0.008,OGLE-III,1087.2337622350058
1090.53579,0.13100000000000023,0.009,OGLE-III,1090.2622741823193
1094.52052,-0.08999999999999986,0.007,OGLE-III,1094.2466986072232
1107.51441,-0.051000000000000156,0.007,OGLE-III,1107.2395584282535
1114.54466,0.019999999999999574,0.008,OGLE-III,1114.2692372048352
1230.85839,0.06099999999999994,0.008,OGLE-III,1230.5765409716294
1240.83817,0.07599999999999874,0.008,OGLE-III,1240.5564164268947
1243.86812,-0.04300000000000104,0.007,OGLE-III,1243.5864271997355
1252.89754,0.11299999999999955,0.008,OGLE-III,1252.616121569502
1255.82969,-0.09999999999999964,0.007,OGLE-III,1255.5483918989896
1258.85881,-0.015000000000000568,0.008,OGLE-III,1258.5776529019774
