HJD,MAG,ERR,SRV,HJD_New
2125.68742,-0.13700000000000045,0.006,OGLE-III,2124.981689888736
2129.74032,-0.06899999999999906,0.005,OGLE-III,2129.0489755210733
2132.68258,0.009999999999999787,0.005,OGLE-III,2132.001567897091
2136.586,-0.11999999999999922,0.005,OGLE-III,2135.918552129518
2141.6011,-0.05599999999999916,0.005,OGLE-III,2140.950840643207
2144.68366,0.051000000000000156,0.005,OGLE-III,2144.0438331847104
2160.64056,0.0009999999999994458,0.006,OGLE-III,2160.0531437808977
2170.58146,0.0940000000000012,0.006,OGLE-III,2170.0253636448483
2178.59224,0.03200000000000003,0.009,OGLE-III,2178.0606514904
2188.54138,-0.0860000000000003,0.006,OGLE-III,2188.0393340743503
2211.54466,0.11400000000000077,0.007,OGLE-III,2211.1072007702496
2333.88174,0.03200000000000003,0.006,OGLE-III,2333.7076706138632
2344.84303,0.12100000000000044,0.006,OGLE-III,2344.686567072467
2355.89389,-0.1169999999999991,0.005,OGLE-III,2355.754270229658
2364.8864,0.038000000000000256,0.006,OGLE-III,2364.759828393104
2372.89729,-0.04899999999999949,0.005,OGLE-III,2372.781854990943
2391.92743,-0.07899999999999885,0.006,OGLE-III,2391.8366574792676
2405.83471,0.10800000000000054,0.006,OGLE-III,2405.7604133356454
2414.88323,0.06600000000000072,0.006,OGLE-III,2414.818973793216
2416.89583,-0.09999999999999964,0.006,OGLE-III,2416.8337356582138
2424.75451,0.10400000000000098,0.007,OGLE-III,2424.7006122792714
2428.73973,0.11500000000000021,0.005,OGLE-III,2428.689841550693
2434.77929,-0.06700000000000017,0.005,OGLE-III,2434.7352913796876
2436.82725,-0.054999999999999716,0.005,OGLE-III,2436.7851981509607
2438.80091,-0.036999999999999034,0.005,OGLE-III,2438.7607103387577
2441.76324,0.08000000000000007,0.005,OGLE-III,2441.725776481687
2445.67956,-0.06400000000000006,0.005,OGLE-III,2445.6456335724138
2448.70309,0.12700000000000067,0.007,OGLE-III,2448.6718323920586
2459.69183,-0.02099999999999902,0.005,OGLE-III,2459.669824613706
2460.70983,0.11599999999999966,0.006,OGLE-III,2460.688646704422
2463.59112,0.1120000000000001,0.005,OGLE-III,2463.572231729324
2466.61391,-0.05799999999999983,0.005,OGLE-III,2466.5973793076237
2468.74013,0.07900000000000063,0.005,OGLE-III,2468.7252270796344
2470.72394,-0.09999999999999964,0.005,OGLE-III,2470.7105332316223
2472.75438,0.018000000000000682,0.005,OGLE-III,2472.7424820929164
2481.6078,-0.10899999999999999,0.006,OGLE-III,2481.6022189422047
2484.6711,0.13000000000000078,0.006,OGLE-III,2484.667606525509
2486.76385,0.002000000000000668,0.007,OGLE-III,2486.7617541015375
2490.74697,-0.0030000000000001137,0.007,OGLE-III,2490.747470537031
