HJD,MAG,ERR,SRV,HJD_New
-956.7172796675004,0.03405465766678853,0.034,MACHO,-956.1525145181702
-955.7210886911488,0.04999094561550009,0.044,MACHO,-955.1564513395596
-955.7176883765496,0.06649638670523726,0.042,MACHO,-955.1530514638274
-954.7240969808772,-0.028552187846008017,0.047,MACHO,-954.159588859565
-953.736605531536,-0.08432919566649924,0.028,MACHO,-953.1722260659571
-953.7333052223548,-0.10709532130751612,0.031,MACHO,-953.1689261871259
-953.730104922317,-0.093435645922906,0.033,MACHO,-953.165726304397
-950.748525323812,0.0505600987565257,0.12,MACHO,-950.1845325244647
-949.7361292918212,-0.07294613284599105,0.029,MACHO,-949.1722643367584
-945.7345451782458,-0.038227791243439876,0.028,MACHO,-945.1711518808138
-943.769254261162,0.05226755817960203,0.03,MACHO,-943.2060637653303
-941.718253639061,0.049421792474474986,0.04,MACHO,-941.1552471279847
-932.8073726049624,-0.09400479906393161,0.023,MACHO,-932.2446959408297
-925.7056695478968,-0.05245661976907561,0.023,MACHO,-925.1424790086802
-925.7024692320264,-0.058148151179329706,0.023,MACHO,-925.1392782651172
-923.7815806046128,-0.07066952028188912,0.033,MACHO,-923.2180973124075
-922.8142860052176,-0.04335016951266886,0.027,MACHO,-922.2506276808203
-922.8111856998876,-0.04619593521779591,0.026,MACHO,-922.2475267835481
-922.8078853753397,-0.05530238547420266,0.029,MACHO,-922.2442258286486
-922.790983711835,-0.05188746662805,0.026,MACHO,-922.2273209334301
-922.7872833483852,-0.04107355694856743,0.03,MACHO,-922.2236198616528
-922.7830829350278,-0.06497798887163503,0.03,MACHO,-922.2194186439024
-922.7463793316856,-0.0871749613716263,0.025,MACHO,-922.1827079960761
-922.7427789783104,-0.10709532130751612,0.024,MACHO,-922.1791069501782
-922.7386785764248,-0.11961669041007553,0.03,MACHO,-922.1750057592571
-920.7840883615428,0.04999094561550009,0.03,MACHO,-920.2199987035757
-920.7812880882992,0.07674114324369524,0.039,MACHO,-920.2171977736327
-920.7781877857632,0.05454417074370346,0.037,MACHO,-920.2140967438341
-919.790092146024,-0.03253625983318578,0.031,MACHO,-919.2257583617551
-919.786991844885,-0.0217223501537027,0.033,MACHO,-919.2226572642536
-919.782391397748,-0.0217223501537027,0.039,MACHO,-919.2180556350131
-918.7611929439008,-0.09115903335880406,0.023,MACHO,-918.1965827064314
-918.7580926446244,-0.08432919566649924,0.024,MACHO,-918.1934815368982
-918.755092354957,-0.09400479906393161,0.026,MACHO,-918.1904804048316
-916.8252075826748,0.0625123147180595,0.068,MACHO,-916.2600113916235
-916.8153066313826,0.08755505292317782,0.064,MACHO,-916.2501072323141
-916.8122063339688,0.0625123147180595,0.062,MACHO,-916.2470059299436
-912.8689344171436,0.05112925189755131,0.032,MACHO,-912.3023036736045
-911.8860430363566,-0.08034512367932148,0.029,MACHO,-911.3190132597538
-910.8782499139196,-0.09571225848700743,0.031,MACHO,-910.3107957880501
-907.7903686002828,0.06535808042318654,0.065,MACHO,-907.2215313913811
-907.787368329242,0.09779980946163579,0.069,MACHO,-907.2185297234141
-905.7196837053634,-0.029121340987033124,0.026,MACHO,-905.1498623425476
-904.8187042898498,-0.03424371925626211,0.022,MACHO,-904.2484437833278
-903.8710214560851,0.04088449535909334,0.02,MACHO,-903.3002932807548
-902.8783354363404,-0.058148151179329706,0.027,MACHO,-902.307112155774
-901.820244609844,-0.09855802419213498,0.02,MACHO,-901.2484890292128
-899.8863812494092,0.05283671132062714,0.023,MACHO,-899.3136452536163
-898.7146838367917,0.024948207410381774,0.024,MACHO,-898.1413521474385
-897.8783151824027,-0.07977597053829587,0.033,MACHO,-897.3045588466365
-895.8973551820964,0.0744645306795933,0.029,MACHO,-895.3225994403689
-894.8651733384468,0.04885263933344937,0.02,MACHO,-894.2899028307377
-892.8721184898168,-0.07294613284599105,0.027,MACHO,-892.2958717010955
