HJD,OC
569.35562,-0.3946989500836807
599.88562,-0.3866674918940077
626.80206,-0.38796653860255137
657.2592099999999,-0.3768128917399606
953.27013,-0.404344489530834
1291.91094,-0.4105443326960234
1315.83367,-0.4082935356001875
1347.259695,-0.40661417063843647
1368.62874,-0.40351609144280476
1402.10448,-0.38291808536318317
1671.76106,-0.36586859640196945
1740.7242500000002,-0.38147531365803916
1759.50791,-0.3870533344964147
2794.6063050000002,-0.38318734934058485
3085.83628,-0.28162195838358106
3113.8288700000003,-0.2697211057428426
3144.81592,-0.2493085860718216
3172.73676,-0.241214127103349
3204.185475,-0.23468969313639243
3238.64838,-0.22432969788394916
3267.55935,-0.21130690217260545
3453.7858,-0.21767448148365065
3474.85739,-0.22581708757519123
3504.227225,-0.22335787567270282
3528.58195,-0.2265127347409597
3562.620635,-0.2306341207148033
3590.09537,-0.23520060769971063
3655.06009,-0.22886344119863392
3809.9073,-0.22473933212389272
3838.263135,-0.2260885049844884
3866.70932,-0.2281127823803488
3901.859335,-0.23529830508095992
3926.6632900000004,-0.23508870467538073
3961.132305,-0.2294177509703206
3987.063995,-0.22621501002104197
4014.54032,-0.2048672079055905
4168.83596,-0.1867606036575719
4199.78823,-0.1855167953927119
4230.282595,-0.18574624379454835
4247.28962,-0.18738329327705738
4286.68121,-0.18250253613731546
4316.06837,-0.18209973467175505
4345.52961,-0.17071828334407776
4373.52925,-0.17324589033971582
4398.05465,-0.16321521004157444
4530.89997,-0.1440527481840131
4552.26263,-0.13298420892410137
4590.82268,-0.1329448411198625
4623.25877,-0.13385109889123284
4646.20592,-0.12899238067936591
4677.7471,-0.1289110654528093
4704.134725,-0.12668862688077162
4729.48828,-0.141482072663962
4921.73133,-0.1461887413698617
4943.7831750000005,-0.13971156954803327
5312.81498,-0.07349353965791407
5342.93072,-0.07336704966728103
5364.84593,-0.07467448737168073
5388.75013,-0.0762387512670477
5432.66937,-0.07371842120933735
5665.9093,-0.050130410380968195
5693.886845,-0.04323989485541888
5725.74358,-0.03147225834670669
5754.59852,-0.02200644132771296
5787.67574,-0.012926148319831026
5819.51997,-0.005243648477259722
5842.55129,-0.004870503753532889
5868.0170450000005,-0.008873668050027227
5971.87705,-0.010237633989557694
5996.84708,-0.009486382909642625
6032.9237,-0.00038130183830669
6059.93157,0.0041028682245027445
6085.638199999999,0.010509288391599642
6116.60818,0.017266116684014086
6147.61061,0.023260065465926433
6175.57779,0.02661403667463839
6204.56082,0.03404147996693149
6357.342105,0.01985229133332019
6394.74044,0.016400100799244387
6417.69931,0.01254037923943737
6447.918455,0.008863305104046763
6476.1062600000005,0.002661880547390939
6506.56541,-0.0014121449215940493
6532.65467,-0.006653472151803822
6562.54304,-0.011342004380941345
6585.52516,-0.013758868514063386
6695.382925,-0.028756099837659643
6719.90535,-0.03161287067254977
6752.8756,-0.03147154275130234
6773.74256,-0.02998223877035717
6808.664145,-0.028903245212565203
6834.63932,-0.026202629513816907
6859.71079,-0.027414562372251733
6888.58516,-0.028290069438910725
6924.03976,-0.028028292306858348
6949.524579999999,-0.03386202865049186
7079.355615,-0.02411871998057637
7114.91843,-0.017620123375852746
7138.78089,-0.011621226793945503
7163.8938,-0.0047351554106324295
7191.80325,0.0005722566789610597
7223.68188,0.003968650403535435
7261.63764,0.0033619708680804354
7277.63462,-0.00042088693392703573
7315.52242,0.0027189672553867583
7445.326385,-0.005405429509083274
7465.88111,-0.0016707417862613953
7493.899725,0.0005621876527121926
7526.85007,0.00018754122449933885
7555.7345,-0.0005799657535010969
7584.63494,-0.0008948420240814844
7611.54128,-0.005101926319710221
7638.608964999999,-0.006365818178998028
7671.51381,-0.009821361581238508
7800.37506,0.0005675182180444803
7826.86025,0.003858260637607381
7854.8682,0.011924077190331926
7879.78562,0.015211885131540929
7909.74789,0.017404231941843335
7945.76094,0.02154300616202012
