HJD,MAG,ERR,SRV,HJD_New
551.8399,0.07499999999999929,0.008,OGLE-III,551.9773478263279
553.75159,0.058999999999999275,0.007,OGLE-III,553.891559490873
557.75255,0.058999999999999275,0.008,OGLE-III,557.8987806499416
558.79859,-0.09700000000000131,0.008,OGLE-III,558.9466418182731
560.7486,-0.14300000000000068,0.007,OGLE-III,560.900211376395
561.76456,0.09399999999999942,0.008,OGLE-III,561.918099177017
562.78178,0.02999999999999936,0.008,OGLE-III,562.9372917361172
567.89556,-0.02000000000000135,0.008,OGLE-III,568.0614151581206
568.87116,0.0,0.008,OGLE-III,569.0390287933556
569.86219,-0.06700000000000017,0.008,OGLE-III,570.032104247163
571.85268,-0.057000000000000384,0.008,OGLE-III,572.026679899609
572.92263,-0.010000000000001563,0.008,OGLE-III,573.0988008163978
573.90143,0.008999999999998565,0.008,OGLE-III,574.0795635456334
574.88424,0.022999999999999687,0.008,OGLE-III,575.0643163520989
575.91547,-0.08000000000000007,0.008,OGLE-III,576.0975487758943
576.90384,0.08099999999999952,0.008,OGLE-III,577.0877975221047
578.80292,0.034999999999998366,0.008,OGLE-III,578.9903556185258
581.78571,-0.15600000000000058,0.008,OGLE-III,581.9781764170577
582.8189,0.11999999999999922,0.008,OGLE-III,583.0129623022607
583.83933,0.0259999999999998,0.008,OGLE-III,584.0348842452303
587.91611,0.036999999999999034,0.01,OGLE-III,588.1166671098148
588.87186,0.028999999999999915,0.008,OGLE-III,589.0733403246272
590.85347,-0.013000000000001677,0.008,OGLE-III,591.0565231354044
599.89704,0.08699999999999974,0.009,OGLE-III,600.1002760584153
600.84578,0.008999999999998565,0.006,OGLE-III,601.0482634505923
601.68224,0.019999999999999574,0.008,OGLE-III,601.8839337182692
605.87192,0.03399999999999892,0.008,OGLE-III,606.0681054271469
606.77818,0.0519999999999996,0.008,OGLE-III,606.9728828374739
607.77471,-0.10400000000000098,0.007,OGLE-III,607.9676838836773
608.76661,0.10299999999999976,0.008,OGLE-III,608.9577706097666
