HJD,MAG,ERR,SRV,HJD_New
551.84577,0.1169999999999991,0.007,OGLE-III,551.3916387661889
553.75748,0.0779999999999994,0.006,OGLE-III,553.3029426771384
557.75845,0.04699999999999882,0.008,OGLE-III,557.3030092793737
558.80449,0.08099999999999952,0.007,OGLE-III,558.3488031361735
560.7545,0.10299999999999976,0.007,OGLE-III,560.2983454775199
561.77043,-0.11300000000000132,0.006,OGLE-III,561.3140279474218
562.78768,0.09999999999999964,0.008,OGLE-III,562.3310278740561
567.90146,-0.09200000000000053,0.007,OGLE-III,567.443529183908
568.87708,0.0389999999999997,0.007,OGLE-III,568.4189034317562
569.86843,-0.11500000000000021,0.007,OGLE-III,569.4100038733634
572.92874,-0.0470000000000006,0.007,OGLE-III,572.4695478480002
573.90764,0.02999999999999936,0.007,OGLE-III,573.4482052876974
574.89045,-0.08300000000000018,0.007,OGLE-III,574.430773485719
575.92171,0.11399999999999899,0.008,OGLE-III,575.4617819605351
576.91006,-0.11700000000000088,0.007,OGLE-III,576.4498933367469
578.80913,-0.11600000000000144,0.006,OGLE-III,578.3485126852146
581.79162,0.10699999999999932,0.008,OGLE-III,581.3303204119566
582.82477,0.0030000000000001137,0.007,OGLE-III,582.363242655839
583.84524,-0.1070000000000011,0.007,OGLE-III,583.3834926034551
587.92234,0.08399999999999963,0.008,OGLE-III,587.4597689965763
588.87811,-0.09800000000000075,0.006,OGLE-III,588.4153603607116
590.85971,-0.12600000000000122,0.007,OGLE-III,590.3966096734333
599.90329,0.016000000000000014,0.007,OGLE-III,599.4389909362048
600.85203,0.01699999999999946,0.006,OGLE-III,600.3876493965834
601.68849,-0.0990000000000002,0.006,OGLE-III,601.2240447933629
605.87819,0.08499999999999908,0.008,OGLE-III,605.413513140561
606.78445,-0.125,0.006,OGLE-III,606.3197408386003
607.78099,0.12399999999999878,0.007,OGLE-III,607.3162516362484
608.77285,-0.09500000000000064,0.007,OGLE-III,608.3080886507391
614.84412,-0.04600000000000115,0.006,OGLE-III,614.3793204229588
615.80243,-0.005000000000000782,0.007,OGLE-III,615.337635838966
616.77676,-0.02000000000000135,0.007,OGLE-III,616.3119732499179
623.72263,0.09499999999999886,0.007,OGLE-III,623.2579097134985
624.7342,-0.008000000000000895,0.007,OGLE-III,624.2694852045037
625.67368,0.0779999999999994,0.007,OGLE-III,625.2089679479363
626.81976,0.1039999999999992,0.007,OGLE-III,626.3550475854441
628.70747,0.1169999999999991,0.007,OGLE-III,628.2427462507786
629.69823,-0.12900000000000134,0.006,OGLE-III,629.233494669613
630.77067,-0.09500000000000064,0.008,OGLE-III,630.3059180763737
631.80902,0.13199999999999967,0.008,OGLE-III,631.3442482683828
632.82622,-0.10800000000000054,0.007,OGLE-III,632.3614255600718
633.70313,0.07599999999999874,0.007,OGLE-III,633.23831355748
635.78428,-0.011000000000001009,0.007,OGLE-III,635.3194033432289
643.76331,0.022999999999999687,0.007,OGLE-III,643.2981339644981
645.62327,-0.10300000000000153,0.006,OGLE-III,645.1580174366678
652.68374,0.019000000000000128,0.007,OGLE-III,652.218217065176
653.58242,0.11799999999999855,0.006,OGLE-III,653.1168677967696
655.63931,-0.10800000000000054,0.006,OGLE-III,655.1736976595404
656.81487,-0.11000000000000121,0.006,OGLE-III,656.349228211738
657.73903,0.04899999999999949,0.007,OGLE-III,657.2733678697168
663.73813,-0.04499999999999993,0.008,OGLE-III,663.272396455704
665.50627,0.054999999999999716,0.007,OGLE-III,665.0405352314232
666.60087,-0.06600000000000072,0.006,OGLE-III,666.1351389441644
667.71988,-0.13700000000000045,0.006,OGLE-III,667.2541562550697
671.53767,-0.10599999999999987,0.007,OGLE-III,671.0719977312649
684.62333,0.11299999999999955,0.007,OGLE-III,684.1581380186313
688.62759,-0.1120000000000001,0.007,OGLE-III,688.1626362877819
697.62047,-0.11100000000000065,0.006,OGLE-III,697.1562015727459
699.65412,0.06099999999999994,0.007,OGLE-III,699.190034716951
706.59792,-0.011000000000001009,0.008,OGLE-III,706.1345362572822
712.55629,0.10899999999999999,0.007,OGLE-III,712.0936000425132
715.51155,-0.02000000000000135,0.007,OGLE-III,715.0492348167788
727.56408,0.026999999999999247,0.008,OGLE-III,727.1034966817031
745.56243,0.05999999999999872,0.01,OGLE-III,745.1050073951975
755.53691,0.07599999999999874,0.008,OGLE-III,755.0815142611849
875.8582,0.10199999999999854,0.007,OGLE-III,875.4383229223998
887.82958,0.019999999999999574,0.007,OGLE-III,887.4139289633661
895.86117,-0.12300000000000111,0.006,OGLE-III,895.4483817899817
898.79457,0.129999999999999,0.007,OGLE-III,898.3828315146166
918.86064,0.0,0.007,OGLE-III,918.4561143361509
925.82785,-0.028999999999999915,0.006,OGLE-III,925.4258311637376
928.85973,-0.14000000000000057,0.006,OGLE-III,928.4588007142295
931.86304,-0.03200000000000003,0.007,OGLE-III,931.463188756234
933.82341,-0.05500000000000149,0.006,OGLE-III,933.4242616199942
936.91211,-0.04100000000000037,0.006,OGLE-III,936.5140674896188
937.85564,-0.04400000000000048,0.007,OGLE-III,937.4579348893551
939.81541,0.0009999999999994458,0.006,OGLE-III,939.418404998107
941.78945,0.0649999999999995,0.006,OGLE-III,941.3931491895518
950.76938,0.10499999999999865,0.007,OGLE-III,950.376267303624
952.70152,0.11099999999999888,0.007,OGLE-III,952.3090894800247
962.74057,0.04299999999999926,0.007,OGLE-III,962.3516576106939
963.86343,-0.026000000000001577,0.007,OGLE-III,963.4749080541928
965.71716,-0.120000000000001,0.006,OGLE-III,965.3292811559894
966.75566,0.06099999999999994,0.006,OGLE-III,966.3681406063862
970.86251,0.013999999999999346,0.008,OGLE-III,970.476405974383
971.93422,-0.1330000000000009,0.007,OGLE-III,971.5484836531518
985.68386,0.11299999999999955,0.006,OGLE-III,985.3027721835
990.74014,0.11099999999999888,0.007,OGLE-III,990.3607260228117
991.70841,-0.14200000000000124,0.006,OGLE-III,991.3293141580021
995.77335,0.11099999999999888,0.008,OGLE-III,995.3955809195755
997.74463,0.11899999999999977,0.007,OGLE-III,997.3674990431404
1006.69072,0.1169999999999991,0.008,OGLE-III,1006.3164388352021
1021.56328,-0.11500000000000021,0.006,OGLE-III,1021.1935518543179
1035.69706,0.06199999999999939,0.007,OGLE-III,1035.3314155763292
1036.67084,-0.09200000000000053,0.006,OGLE-III,1036.3054673753975
1040.66726,-0.07400000000000162,0.006,OGLE-III,1040.3029892230059
1043.5397,0.11799999999999855,0.008,OGLE-III,1043.1762073546759
1048.63523,0.05299999999999905,0.008,OGLE-III,1048.2730883445188
1054.70123,0.032999999999999474,0.007,OGLE-III,1054.3406458678876
1061.63393,-0.0470000000000006,0.007,OGLE-III,1061.2750552703687
1064.61521,-0.11900000000000155,0.007,OGLE-III,1064.2570463000934
1068.56484,-0.120000000000001,0.007,OGLE-III,1068.2075952711352
1074.57209,0.12199999999999989,0.008,OGLE-III,1074.2161912574363
1077.62526,0.07399999999999984,0.007,OGLE-III,1077.2700207434962
1080.53775,-0.09200000000000053,0.006,OGLE-III,1080.1831239930393
1087.58727,-0.11700000000000088,0.007,OGLE-III,1087.234062538953
1090.60639,-0.07500000000000107,0.007,OGLE-III,1090.2537608399798
1092.56845,-0.1070000000000011,0.007,OGLE-III,1092.2161870470113
1105.54058,0.03999999999999915,0.007,OGLE-III,1105.1905409910294
1119.55171,0.08299999999999841,0.008,OGLE-III,1119.2036674718447
1229.82928,0.10599999999999987,0.008,OGLE-III,1229.4786895830553
1239.86847,0.08899999999999864,0.008,OGLE-III,1239.5157314909743
1242.83987,-0.120000000000001,0.008,OGLE-III,1242.48642535735
1245.84091,-0.07500000000000107,0.008,OGLE-III,1245.486719025455
1253.82957,0.09600000000000009,0.008,OGLE-III,1253.4732276018497
1256.85962,-0.02800000000000047,0.008,OGLE-III,1256.5023980545343
1259.85365,-0.12900000000000134,0.007,OGLE-III,1259.4955241676157
1262.81398,0.11999999999999922,0.008,OGLE-III,1262.4549261496552
1267.84627,0.11999999999999922,0.008,OGLE-III,1267.4855594910644
1280.86771,-0.11700000000000088,0.007,OGLE-III,1280.5022410158322
1288.8405,0.11099999999999888,0.007,OGLE-III,1288.4717733662862
1291.84191,0.11099999999999888,0.005,OGLE-III,1291.4718877903958
1295.73133,0.07899999999999885,0.008,OGLE-III,1295.359571829595
1297.86795,-0.120000000000001,0.007,OGLE-III,1297.4952105578527
1298.87133,0.11499999999999844,0.008,OGLE-III,1298.4981229374432
1299.78013,-0.0730000000000004,0.007,OGLE-III,1299.4064956290997
1305.88829,0.1269999999999989,0.008,OGLE-III,1305.5116900891458
1306.84231,-0.12700000000000067,0.006,OGLE-III,1306.4652321015021
1308.66735,-0.0070000000000014495,0.007,OGLE-III,1308.2893464798317
1312.88703,0.11999999999999922,0.008,OGLE-III,1312.5068295264634
1315.74727,-0.1280000000000001,0.007,OGLE-III,1315.3655349059916
1316.84694,-0.06600000000000072,0.007,OGLE-III,1316.4646050875322
1318.72924,0.06999999999999851,0.008,OGLE-III,1318.3458685618948
1319.91549,0.0009999999999994458,0.008,OGLE-III,1319.5314620824774
1320.8402,-0.09700000000000131,0.007,OGLE-III,1320.4556602227558
1321.80458,0.11999999999999922,0.008,OGLE-III,1321.419507460295
1332.67404,0.11899999999999977,0.011,OGLE-III,1332.2833789930066
1335.66464,0.04399999999999871,0.007,OGLE-III,1335.272703475748
1336.777,-0.05500000000000149,0.007,OGLE-III,1336.3846321298358
1339.77253,-0.10500000000000043,0.007,OGLE-III,1339.3791348905706
1341.77338,-0.11800000000000033,0.007,OGLE-III,1341.3794206174318
1345.84007,0.13699999999999868,0.007,OGLE-III,1345.4453110990662
1347.78314,0.1349999999999998,0.007,OGLE-III,1347.3881806278182
1348.782,-0.08200000000000074,0.007,OGLE-III,1348.3869835822316
1349.66726,0.09499999999999886,0.007,OGLE-III,1349.2722184460404
1354.75713,0.1349999999999998,0.008,OGLE-III,1354.3623844208676
1355.71518,-0.136000000000001,0.008,OGLE-III,1355.3205696922098
1365.70983,-0.03700000000000081,0.007,OGLE-III,1365.3179432943157
1366.6565,-0.0470000000000006,0.007,OGLE-III,1366.264982062598
1367.75739,-0.11500000000000021,0.008,OGLE-III,1367.3663220703015
1368.75227,0.11999999999999922,0.007,OGLE-III,1368.3616276322025
1369.77329,-0.021000000000000796,0.007,OGLE-III,1369.3831023240282
1374.80381,-0.04800000000000004,0.008,OGLE-III,1374.4161047382688
1375.62095,0.03599999999999959,0.007,OGLE-III,1375.2336824203348
1394.63001,0.021999999999998465,0.007,OGLE-III,1394.2546237974625
1395.60507,-0.06300000000000061,0.005,OGLE-III,1395.2303371053342
1398.60926,0.13199999999999967,0.007,OGLE-III,1398.236537031001
1399.65761,-0.005000000000000782,0.007,OGLE-III,1399.2855850569097
1400.7024,-0.125,0.007,OGLE-III,1400.331067770811
1401.65478,0.08000000000000007,0.007,OGLE-III,1401.2840760276965
1402.63283,-0.12600000000000122,0.006,OGLE-III,1402.2627674441926
1403.68078,0.1269999999999989,0.008,OGLE-III,1403.3113997711505
1407.65208,-0.10100000000000087,0.007,OGLE-III,1407.2852262361353
1408.52495,-0.11100000000000065,0.007,OGLE-III,1408.1586362601522
1409.48689,0.11399999999999899,0.009,OGLE-III,1409.1211639123378
1410.47712,-0.09200000000000053,0.007,OGLE-III,1410.1119904032369
1410.59659,0.10599999999999987,0.008,OGLE-III,1410.2315317920693
1410.63473,0.125,0.009,OGLE-III,1410.2696945563882
1410.69435,0.049999999999998934,0.008,OGLE-III,1410.3293501160224
1415.47661,-0.1460000000000008,0.008,OGLE-III,1415.1143632260807
1416.48262,0.1169999999999991,0.008,OGLE-III,1416.1209277986961
1417.51299,0.019999999999999574,0.008,OGLE-III,1417.1518570987696
1418.48473,-0.02800000000000047,0.008,OGLE-III,1418.1241165692268
1419.47527,0.04800000000000004,0.008,OGLE-III,1419.1151781560563
1431.63679,0.07599999999999874,0.008,OGLE-III,1431.2824737191736
1435.51305,0.09699999999999953,0.008,OGLE-III,1435.1603418809764
1437.55011,-0.125,0.007,OGLE-III,1437.1982042844816
1442.53314,-0.026000000000001577,0.007,OGLE-III,1442.1830771945872
1447.48571,0.12899999999999956,0.008,OGLE-III,1447.1373165590624
1450.50761,0.04699999999999882,0.007,OGLE-III,1450.1601590728553
1458.51662,-0.120000000000001,0.008,OGLE-III,1458.1714034737322
1460.5176,-0.11000000000000121,0.007,OGLE-III,1460.1728848017383
1462.52672,0.010999999999999233,0.008,OGLE-III,1462.1824863275335
1475.52697,-0.04600000000000115,0.008,OGLE-III,1475.1853592028297
1601.88943,0.10899999999999999,0.008,OGLE-III,1601.5558946497617
1602.86049,-0.12400000000000055,0.007,OGLE-III,1602.5270830422626
