HJD,OC
2826.8184,-0.020266205353771688
2858.71643,-0.012933328093033622
5268.353525,-0.11417553086693512
5285.7919,-0.11372398598071781
5320.64523,-0.11127782605558295
5346.3778,-0.10835129370460345
5383.74221,-0.10642609387446102
5409.2773099999995,-0.10343640255600639
5439.156825,-0.1004275824285809
5468.076675,-0.09949599028651969
5650.82303,-0.0691065714939564
5682.241185000001,-0.06712772942645748
5712.57685,-0.065335013387856
5741.654245,-0.06461529789904942
5766.68153,-0.06745273076010234
5796.091640000001,-0.0686420222392909
5829.5729599999995,-0.06752192180334944
5852.56215,-0.06546263976654453
5986.34064,-0.04608151739601616
6011.91181,-0.03732351673765229
6039.23559,-0.023662685235359547
6070.69805,-0.014960042258414437
6100.262685,-0.004274343937352462
6125.5141,0.00020597405989415264
6161.587355,0.0021172325308757567
6186.48282,0.00042900909091776794
6216.005045,-0.000832452944169635
6345.368795,-0.022846791398323595
6373.866775,-0.024822345924779537
6396.370870000001,-0.026676943906016316
6430.288085,-0.03071450371872431
6456.697179999999,-0.037789379363492366
6487.16716,-0.041422503881253334
6515.62847,-0.045559742444553096
6554.61128,-0.04937039011392805
6578.56484,-0.05574586542899204
6728.85758,-0.08733843302361584
6759.807085,-0.09399675898873644
6790.7115,-0.1032186771646911
6819.59422,-0.11211411648116427
6845.73394,-0.1175151597963897
6883.49584,-0.124793074271745
6911.092855,-0.13305344687948384
6939.529095,-0.13757820171930818
7088.8565,-0.15044675133792162
7117.26288,-0.14827604351128898
7147.844845,-0.14007843290200064
7180.240715,-0.13476034257910743
7207.82246,-0.12979269014349373
7267.077965,-0.11603697126696699
7297.5396,-0.11264588551634315
7451.88376,-0.08298350883765218
7478.80696,-0.07344713965180515
7500.80915,-0.06891582097974702
7570.65867,-0.046194103341986315
7603.7626,-0.033222344859529344
7814.8345850000005,0.03573455765202028
7838.85114,0.03185793851633828
7870.400299999999,0.027918027359605368
7905.60022,0.019973313459984772
7932.65876,0.01369125015216727
7958.66039,0.006041432476757851
